Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
NORTHOAKS,30 Woodlands Crescent  #04-16 ,1,116,Strata,478700,-,4127,383,17-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,25,73,738086,North Region,Woodlands
NORTHOAKS,22 Woodlands Crescent  #02-40 ,1,116,Strata,469000,-,4043,376,16-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,25,73,738082,North Region,Woodlands
THE FLORAVALE,232 Westwood Avenue  #14-31 ,1,214,Strata,637468,-,2979,277,16-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648360,West Region,Jurong West
WOODSVALE,9 Woodlands Drive 72  #13-23 ,1,126,Strata,534600,-,4243,394,16-JUL-1999,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,25,73,738093,North Region,Woodlands
THE FLORAVALE,234 Westwood Avenue  #11-33 ,1,113,Strata,465104,-,4116,382,16-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648361,West Region,Jurong West
SUMMERDALE,6 Boon Lay Drive  #13-10 ,1,121,Strata,488348,-,4036,375,16-JUL-1999,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,22,64,649927,West Region,Jurong West
THE FLORAVALE,244 Westwood Avenue  #13-53 ,1,124,Strata,513200,-,4139,384,15-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,Private,22,64,648366,West Region,Jurong West
THE FLORAVALE,218 Westwood Avenue  #03-04 ,1,130,Strata,530540,-,4081,379,15-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,Private,22,64,648351,West Region,Jurong West
THE RIVERVALE,3 Rivervale Link  #03-27 ,1,117,Strata,530700,-,4536,421,15-JUL-1999,Executive Condominium,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545119,North East Region,Sengkang
WOODSVALE,5 Woodlands Drive 72  #09-09 ,1,120,Strata,491500,-,4096,381,15-JUL-1999,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,25,73,738091,North Region,Woodlands
THE RIVERVALE,1 Rivervale Link  #09-06 ,1,117,Strata,563800,-,4819,448,14-JUL-1999,Executive Condominium,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang
THE RIVERVALE,3 Rivervale Link  #07-27 ,1,117,Strata,542700,-,4638,431,14-JUL-1999,Executive Condominium,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545119,North East Region,Sengkang
NORTHOAKS,28 Woodlands Crescent  #09-23 ,1,115,Strata,482600,-,4197,390,13-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,25,73,738085,North Region,Woodlands
THE FLORAVALE,226 Westwood Avenue  #11-18 ,1,123,Strata,518240,-,4213,391,13-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648357,West Region,Jurong West
THE RIVERVALE,7 Rivervale Link  #10-45 ,1,122,Strata,625400,-,5126,476,13-JUL-1999,Executive Condominium,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545125,North East Region,Sengkang
THE RIVERVALE,1 Rivervale Link  #06-02 ,1,122,Strata,599000,-,4910,456,13-JUL-1999,Executive Condominium,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang
THE RIVERVALE,3 Rivervale Link  #03-29 ,1,121,Strata,525900,-,4346,404,13-JUL-1999,Executive Condominium,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545119,North East Region,Sengkang
NORTHOAKS,26 Woodlands Crescent  #11-31 ,1,115,Strata,487900,-,4243,394,13-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,25,73,738084,North Region,Woodlands
THE FLORAVALE,222 Westwood Avenue  #11-10 ,1,129,Strata,580970,-,4504,418,12-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648355,West Region,Jurong West
NORTHOAKS,28 Woodlands Crescent  #02-18 ,1,115,Strata,465700,-,4050,376,12-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,Private,25,73,738085,North Region,Woodlands
NORTHOAKS,22 Woodlands Crescent  #08-35 ,1,120,Strata,497400,-,4145,385,12-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,25,73,738082,North Region,Woodlands
THE FLORAVALE,226 Westwood Avenue  #09-20 ,1,115,Strata,487572,-,4240,394,12-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648357,West Region,Jurong West
THE RIVERVALE,1 Rivervale Link  #10-02 ,1,122,Strata,616800,-,5056,470,12-JUL-1999,Executive Condominium,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang
THE FLORAVALE,226 Westwood Avenue  #10-18 ,1,123,Strata,514222,-,4181,388,12-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648357,West Region,Jurong West
NORTHOAKS,20 Woodlands Crescent  #05-41 ,1,116,Strata,473700,-,4084,379,12-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,25,73,738081,North Region,Woodlands
NORTHOAKS,30 Woodlands Crescent  #13-15 ,1,115,Strata,506500,-,4404,409,12-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,Private,25,73,738086,North Region,Woodlands
THE FLORAVALE,232 Westwood Avenue  #10-30 ,1,116,Strata,497904,-,4292,399,10-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,Private,22,64,648360,West Region,Jurong West
YEW MEI GREEN,52 Choa Chu Kang North 6  #21-23 ,1,120,Strata,563490,-,4696,436,10-JUL-1999,Executive Condominium,99 Yrs From 01/12/1997,2000,New Sale,HDB,23,68,689575,West Region,Choa Chu Kang
SUMMERDALE,10 Boon Lay Drive  #10-31 ,1,111,Strata,445235,-,4011,373,09-JUL-1999,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,22,64,649929,West Region,Jurong West
SUMMERDALE,6 Boon Lay Drive  #11-10 ,1,111,Strata,444094,-,4001,372,09-JUL-1999,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,22,64,649927,West Region,Jurong West
SUMMERDALE,8 Boon Lay Drive  #02-22 ,1,118,Strata,441641,-,3743,348,09-JUL-1999,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,22,64,649928,West Region,Jurong West
THE RIVERVALE,7 Rivervale Link  #12-39 ,1,127,Strata,602800,-,4746,441,09-JUL-1999,Executive Condominium,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545125,North East Region,Sengkang
THE FLORAVALE,224 Westwood Avenue  #07-16 ,1,131,Strata,547678,-,4181,388,09-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648356,West Region,Jurong West
WOODSVALE,11 Woodlands Drive 72  #13-32 ,1,114,Strata,492200,-,4318,401,09-JUL-1999,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,Private,25,73,738094,North Region,Woodlands
SUMMERDALE,6 Boon Lay Drive  #10-10 ,1,111,Strata,440834,-,3971,369,09-JUL-1999,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,22,64,649927,West Region,Jurong West
SUMMERDALE,8 Boon Lay Drive  #02-21 ,1,130,Strata,517118,-,3978,370,09-JUL-1999,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,22,64,649928,West Region,Jurong West
THE RIVERVALE,3 Rivervale Link  #11-19 ,1,121,Strata,630700,-,5212,484,08-JUL-1999,Executive Condominium,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545119,North East Region,Sengkang
YEW MEI GREEN,50 Choa Chu Kang North 6  #06-07 ,1,120,Strata,494280,-,4119,383,08-JUL-1999,Executive Condominium,99 Yrs From 01/12/1997,2000,New Sale,HDB,23,68,689574,West Region,Choa Chu Kang
THE FLORIDA,78 Hougang Avenue 7  #16-31 ,1,185,Strata,777000,-,4200,390,08-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,19,53,534260,North East Region,Hougang
YEW MEI GREEN,50 Choa Chu Kang North 6  #14-01 ,1,120,Strata,525228,-,4377,407,08-JUL-1999,Executive Condominium,99 Yrs From 01/12/1997,2000,New Sale,HDB,23,68,689574,West Region,Choa Chu Kang
THE FLORAVALE,226 Westwood Avenue  #12-20 ,1,115,Strata,499626,-,4345,404,08-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648357,West Region,Jurong West
WOODSVALE,11 Woodlands Drive 72  #08-40 ,1,114,Strata,477900,-,4192,389,08-JUL-1999,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,25,73,738094,North Region,Woodlands
THE FLORAVALE,236 Westwood Avenue  #03-40 ,1,122,Strata,458380,-,3757,349,07-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648362,West Region,Jurong West
NORTHOAKS,22 Woodlands Crescent  #10-35 ,1,120,Strata,502400,-,4187,389,07-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,25,73,738082,North Region,Woodlands
THE FLORAVALE,218 Westwood Avenue  #03-01 ,1,123,Strata,468712,-,3811,354,07-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648351,West Region,Jurong West
THE FLORAVALE,244 Westwood Avenue  #13-54 ,1,115,Strata,486342,-,4229,393,07-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648366,West Region,Jurong West
THE RIVERVALE,7 Rivervale Link  #13-41 ,1,116,Strata,563100,-,4854,451,07-JUL-1999,Executive Condominium,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545125,North East Region,Sengkang
THE RIVERVALE,3 Rivervale Link  #14-18 ,1,122,Strata,641900,-,5261,489,07-JUL-1999,Executive Condominium,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545119,North East Region,Sengkang
NORTHOAKS,20 Woodlands Crescent  #04-41 ,1,116,Strata,471200,-,4062,377,07-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,25,73,738081,North Region,Woodlands
THE FLORAVALE,242 Westwood Avenue  #04-52 ,1,115,Strata,457478,-,3978,370,07-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648365,West Region,Jurong West
THE RIVERVALE,3 Rivervale Link  #03-25 ,1,116,Strata,555000,-,4784,444,07-JUL-1999,Executive Condominium,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545119,North East Region,Sengkang
THE FLORAVALE,226 Westwood Avenue  #08-20 ,1,115,Strata,483554,-,4205,391,06-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,Uncompleted,New Sale,Private,22,64,648357,West Region,Jurong West
THE FLORAVALE,226 Westwood Avenue  #08-18 ,1,123,Strata,506186,-,4115,382,06-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648357,West Region,Jurong West
THE FLORAVALE,222 Westwood Avenue  #06-09 ,1,131,Strata,570310,-,4354,404,06-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648355,West Region,Jurong West
SUMMERDALE,10 Boon Lay Drive  #01-30 ,1,156,Strata,500981,-,3211,298,06-JUL-1999,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,22,64,649929,West Region,Jurong West
THE FLORAVALE,238 Westwood Avenue  #04-44 ,1,114,Strata,464448,-,4074,378,06-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648363,West Region,Jurong West
NORTHOAKS,20 Woodlands Crescent  #12-41 ,1,116,Strata,491200,-,4234,393,06-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,25,73,738081,North Region,Woodlands
NORTHOAKS,30 Woodlands Crescent  #12-15 ,1,115,Strata,504000,-,4383,407,05-JUL-1999,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,25,73,738086,North Region,Woodlands
