Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE VISIONAIRE,174 Canberra Drive  #03-12 ,1,95,Strata,826650,-,8702,808,20-MAR-2017,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,N.A,27,76,767949,North Region,Sembawang
THE QUINTET,44 Choa Chu Kang Street 64  #11-19 ,1,117,Strata,920000,-,7863,731,20-MAR-2017,Executive Condominium,99 Yrs From 22/01/2003,2006,Resale,HDB,23,68,689105,West Region,Choa Chu Kang
WANDERVALE,363 Choa Chu Kang Avenue 3  #04-27 ,1,105,Strata,776000,-,7390,687,20-MAR-2017,Executive Condominium,99 Yrs From 08/12/2014,Uncompleted,New Sale,HDB,23,68,689885,West Region,Choa Chu Kang
SOL ACRES,12 Choa Chu Kang Grove  #21-33 ,1,79,Strata,709000,-,8975,834,19-MAR-2017,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688208,West Region,Choa Chu Kang
THE VISIONAIRE,190 Canberra Drive  #02-44 ,1,95,Strata,847000,-,8916,828,19-MAR-2017,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,N.A,27,76,767957,North Region,Sembawang
SOL ACRES,4 Choa Chu Kang Grove  #14-08 ,1,68,Strata,605000,-,8897,827,19-MAR-2017,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688239,West Region,Choa Chu Kang
INZ RESIDENCE,64 Choa Chu Kang Avenue 5  #12-10 ,1,110,Strata,924500,-,8405,781,19-MAR-2017,Executive Condominium,99 Yrs From 27/11/2015,Uncompleted,New Sale,N.A,23,68,688193,West Region,Choa Chu Kang
INZ RESIDENCE,60 Choa Chu Kang Avenue 5  #08-03 ,1,103,Strata,843500,-,8189,761,19-MAR-2017,Executive Condominium,99 Yrs From 27/11/2015,Uncompleted,New Sale,N.A,23,68,688191,West Region,Choa Chu Kang
SOL ACRES,12 Choa Chu Kang Grove  #09-29 ,1,97,Strata,798000,-,8227,764,19-MAR-2017,Executive Condominium,99 Yrs From 02/06/2014,2018,New Sale,HDB,23,68,688208,West Region,Choa Chu Kang
THE VISIONAIRE,174 Canberra Drive  #09-09 ,1,107,Strata,823610,-,7697,715,19-MAR-2017,Executive Condominium,99 Yrs From 09/01/2015,2018,New Sale,Private,27,76,767949,North Region,Sembawang
BELLEWOODS,114 Woodlands Avenue 5  #02-32 ,1,114,Strata,928620,-,8146,757,19-MAR-2017,Executive Condominium,99 Yrs From 12/08/2013,2017,New Sale,HDB,25,73,739017,North Region,Woodlands
INZ RESIDENCE,74 Choa Chu Kang Avenue 5  #01-28 ,1,102,Strata,835000,-,8186,761,19-MAR-2017,Executive Condominium,99 Yrs From 27/11/2015,Uncompleted,New Sale,N.A,23,68,688198,West Region,Choa Chu Kang
