Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
LILYDALE,550 Yishun Avenue 6  #05-03 ,1,111,Strata,418757,-,3773,350,14-DEC-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,Private,27,76,768961,North Region,Yishun
LILYDALE,558 Yishun Avenue 6  #12-16 ,1,219,Strata,563544,-,2573,239,14-DEC-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,27,76,768965,North Region,Yishun
NUOVO,21 Ang Mo Kio Avenue 9  #07-04 ,1,119,Strata,507769,-,4267,396,14-DEC-2001,Executive Condominium,99 Yrs From 02/05/2001,2004,New Sale,HDB,20,56,569786,North East Region,Ang Mo Kio
NUOVO,21 Ang Mo Kio Avenue 9  #14-06 ,1,129,Strata,592197,-,4591,426,14-DEC-2001,Executive Condominium,99 Yrs From 02/05/2001,2004,New Sale,Private,20,56,569786,North East Region,Ang Mo Kio
NUOVO,23 Ang Mo Kio Avenue 9  #04-12 ,1,129,Strata,558597,-,4330,402,14-DEC-2001,Executive Condominium,99 Yrs From 02/05/2001,2004,New Sale,HDB,20,56,569787,North East Region,Ang Mo Kio
LILYDALE,550 Yishun Avenue 6  #07-04 ,1,111,Strata,422281,-,3804,353,14-DEC-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,27,76,768961,North Region,Yishun
LILYDALE,550 Yishun Avenue 6  #08-01 ,1,111,Strata,464574,-,4185,389,14-DEC-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,27,76,768961,North Region,Yishun
LILYDALE,556 Yishun Avenue 6  #01-12 ,1,134,Strata,499818,-,3730,347,13-DEC-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,27,76,768964,North Region,Yishun
LILYDALE,558 Yishun Avenue 6  #01-20 ,1,126,Strata,474000,-,3762,349,13-DEC-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,Private,27,76,768965,North Region,Yishun
LILYDALE,560 Yishun Avenue 6  #13-23 ,1,237,Strata,678500,-,2863,266,13-DEC-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,27,76,768966,North Region,Yishun
LILYDALE,550 Yishun Avenue 6  #12-03 ,1,111,Strata,446106,-,4019,373,13-DEC-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,27,76,768961,North Region,Yishun
NUOVO,21 Ang Mo Kio Avenue 9  #06-04 ,1,119,Strata,505184,-,4245,394,13-DEC-2001,Executive Condominium,99 Yrs From 02/05/2001,2004,New Sale,HDB,20,56,569786,North East Region,Ang Mo Kio
LILYDALE,558 Yishun Avenue 6  #12-17 ,1,219,Strata,570000,-,2603,242,13-DEC-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,Private,27,76,768965,North Region,Yishun
LILYDALE,550 Yishun Avenue 6  #11-04 ,1,111,Strata,434617,-,3915,364,13-DEC-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,27,76,768961,North Region,Yishun
LILYDALE,556 Yishun Avenue 6  #12-12 ,1,114,Strata,509510,-,4469,415,13-DEC-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,27,76,768964,North Region,Yishun
NUOVO,21 Ang Mo Kio Avenue 9  #16-04 ,1,119,Strata,536198,-,4506,419,13-DEC-2001,Executive Condominium,99 Yrs From 02/05/2001,2004,New Sale,HDB,20,56,569786,North East Region,Ang Mo Kio
LILYDALE,550 Yishun Avenue 6  #05-01 ,1,111,Strata,453120,-,4082,379,13-DEC-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,Private,27,76,768961,North Region,Yishun
LILYDALE,550 Yishun Avenue 6  #10-04 ,1,111,Strata,431092,-,3884,361,12-DEC-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,27,76,768961,North Region,Yishun
NUOVO,23 Ang Mo Kio Avenue 9  #07-07 ,1,129,Strata,563768,-,4370,406,12-DEC-2001,Executive Condominium,99 Yrs From 02/05/2001,2004,New Sale,HDB,20,56,569787,North East Region,Ang Mo Kio
NUOVO,23 Ang Mo Kio Avenue 9  #11-11 ,1,144,Strata,635273,-,4412,410,12-DEC-2001,Executive Condominium,99 Yrs From 02/05/2001,2004,New Sale,HDB,20,56,569787,North East Region,Ang Mo Kio
LILYDALE,550 Yishun Avenue 6  #13-04 ,1,111,Strata,440784,-,3971,369,12-DEC-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,27,76,768961,North Region,Yishun
NUOVO,23 Ang Mo Kio Avenue 9  #10-12 ,1,129,Strata,578413,-,4484,417,12-DEC-2001,Executive Condominium,99 Yrs From 02/05/2001,2004,New Sale,HDB,20,56,569787,North East Region,Ang Mo Kio
LILYDALE,552 Yishun Avenue 6  #13-06 ,1,237,Strata,676325,-,2854,265,12-DEC-2001,Executive Condominium,99 Yrs From 12/09/2000,2003,New Sale,HDB,27,76,768962,North Region,Yishun
THE FLORAVALE,222 Westwood Avenue  #04-12 ,1,123,Strata,466500,-,3793,352,12-DEC-2001,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648355,West Region,Jurong West
WOODSVALE,1 Woodlands Drive 72  #04-04 ,1,120,Strata,444800,-,3707,344,12-DEC-2001,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,25,73,738089,North Region,Woodlands
