Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
ECOPOLITAN,128 Punggol Walk  #08-10 ,1,127,Strata,1107400,-,8720,810,14-NOV-2013,Executive Condominium,99 Yrs From 04/12/2012,Uncompleted,New Sale,HDB,19,82,828775,North East Region,Punggol
FORESTVILLE,32 Woodlands Drive 16  #04-27 ,1,116,Strata,842240,-,7261,675,14-NOV-2013,Executive Condominium,99 Yrs From 06/08/2012,Uncompleted,New Sale,HDB,25,73,737770,North Region,Woodlands
SEA HORIZON,19 Pasir Ris Rise  #09-37 ,1,119,Strata,1089000,-,9151,850,14-NOV-2013,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,HDB,18,51,518089,East Region,Pasir Ris
HERON BAY,61 Upper Serangoon View  #04-19 ,1,114,Strata,874000,-,7667,712,14-NOV-2013,Executive Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,HDB,19,53,534015,North East Region,Hougang
SEA HORIZON,9 Pasir Ris Rise  #09-20 ,1,119,Strata,1080000,-,9076,843,14-NOV-2013,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,HDB,18,51,518084,East Region,Pasir Ris
SEA HORIZON,5 Pasir Ris Rise  #04-10 ,1,103,Strata,850000,-,8252,767,14-NOV-2013,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,HDB,18,51,518082,East Region,Pasir Ris
ECOPOLITAN,128 Punggol Walk  #10-11 ,1,127,Strata,1087400,-,8562,795,14-NOV-2013,Executive Condominium,99 Yrs From 04/12/2012,Uncompleted,New Sale,HDB,19,82,828775,North East Region,Punggol
LUSH ACRES,1 Fernvale Close  #03-01 ,1,115,Strata,963330,-,8377,778,13-NOV-2013,Executive Condominium,99 Yrs From 13/02/2013,Uncompleted,New Sale,HDB,28,79,797485,North East Region,Sengkang
1 CANBERRA,21 Canberra Drive  #02-42 ,1,88,Strata,683500,-,7767,722,13-NOV-2013,Executive Condominium,99 Yrs From 30/01/2012,Uncompleted,New Sale,HDB,27,76,768076,North Region,Yishun
1 CANBERRA,13 Canberra Drive  #03-26 ,1,100,Strata,791400,-,7914,735,13-NOV-2013,Executive Condominium,99 Yrs From 30/01/2012,2015,New Sale,Private,27,76,768072,North Region,Yishun
FORESTVILLE,30 Woodlands Drive 16  #12-22 ,1,116,Strata,1006570,-,8677,806,13-NOV-2013,Executive Condominium,99 Yrs From 06/08/2012,Uncompleted,New Sale,HDB,25,73,737769,North Region,Woodlands
LA CASA,50 Woodlands Drive 16  #08-04 ,1,111,Strata,982888,-,8855,823,13-NOV-2013,Executive Condominium,99 Yrs From 13/09/2004,2008,Resale,HDB,25,73,737901,North Region,Woodlands
SEA HORIZON,5 Pasir Ris Rise  #06-12 ,1,140,Strata,1242000,-,8871,824,13-NOV-2013,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,Private,18,51,518082,East Region,Pasir Ris
LUSH ACRES,1 Fernvale Close  #19-02 ,1,105,Strata,904800,-,8617,801,12-NOV-2013,Executive Condominium,99 Yrs From 13/02/2013,Uncompleted,New Sale,HDB,28,79,797485,North East Region,Sengkang
SEA HORIZON,13 Pasir Ris Rise  #06-25 ,1,142,Strata,1266000,-,8915,828,12-NOV-2013,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,Private,18,51,518086,East Region,Pasir Ris
SEA HORIZON,1 Pasir Ris Rise  #04-04 ,1,108,Strata,891000,-,8250,766,12-NOV-2013,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,HDB,18,51,518080,East Region,Pasir Ris
SEA HORIZON,3 Pasir Ris Rise  #09-07 ,1,103,Strata,860000,-,8350,776,12-NOV-2013,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,HDB,18,51,518081,East Region,Pasir Ris
SEA HORIZON,1 Pasir Ris Rise  #10-01 ,1,103,Strata,896700,-,8706,809,12-NOV-2013,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,HDB,18,51,518080,East Region,Pasir Ris
TWIN FOUNTAINS,19A Woodlands Avenue 6  #09-29 ,1,112,Strata,958640,-,8559,795,12-NOV-2013,Executive Condominium,99 Yrs From 19/12/2012,Uncompleted,New Sale,HDB,25,73,739000,North Region,Woodlands
FORESTVILLE,42 Woodlands Drive 16  #12-46 ,1,136,Strata,1092520,-,8033,746,12-NOV-2013,Executive Condominium,99 Yrs From 06/08/2012,Uncompleted,New Sale,HDB,25,73,737775,North Region,Woodlands
SEA HORIZON,21 Pasir Ris Rise  #10-43 ,1,100,Strata,888000,-,8880,825,12-NOV-2013,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,Private,18,51,518090,East Region,Pasir Ris
SEA HORIZON,1 Pasir Ris Rise  #08-03 ,1,74,Strata,647000,-,8743,812,12-NOV-2013,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,HDB,18,51,518080,East Region,Pasir Ris
LUSH ACRES,3 Fernvale Close  #04-08 ,1,115,Strata,953600,-,8292,770,12-NOV-2013,Executive Condominium,99 Yrs From 13/02/2013,Uncompleted,New Sale,Private,28,79,797486,North East Region,Sengkang
FORESTVILLE,26 Woodlands Drive 16  #11-14 ,1,130,Strata,1116395,-,8588,798,12-NOV-2013,Executive Condominium,99 Yrs From 06/08/2012,Uncompleted,New Sale,HDB,25,73,737882,North Region,Woodlands
THE QUINTET,44 Choa Chu Kang Street 64  #13-19 ,1,117,Strata,1018000,-,8701,808,12-NOV-2013,Executive Condominium,99 Yrs From 22/01/2003,2006,Resale,HDB,23,68,689105,West Region,Choa Chu Kang
ECOPOLITAN,128 Punggol Walk  #08-09 ,1,83,Strata,721000,-,8687,807,12-NOV-2013,Executive Condominium,99 Yrs From 04/12/2012,Uncompleted,New Sale,HDB,19,82,828775,North East Region,Punggol
FORESTVILLE,38 Woodlands Drive 16  #11-36 ,1,102,Strata,813200,-,7973,741,12-NOV-2013,Executive Condominium,99 Yrs From 06/08/2012,Uncompleted,New Sale,HDB,25,73,737773,North Region,Woodlands
SUMMERDALE,2 Boon Lay Drive  #04-03 ,1,118,Strata,945000,-,8008,744,11-NOV-2013,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,22,64,649925,West Region,Jurong West
FORESTVILLE,46 Woodlands Drive 16  #12-50 ,1,186,Strata,1348105,-,7248,673,11-NOV-2013,Executive Condominium,99 Yrs From 06/08/2012,Uncompleted,New Sale,HDB,25,73,737777,North Region,Woodlands
1 CANBERRA,7 Canberra Drive  #03-16 ,1,99,Strata,730000,-,7374,685,11-NOV-2013,Executive Condominium,99 Yrs From 30/01/2012,Uncompleted,New Sale,HDB,27,76,768069,North Region,Yishun
SEA HORIZON,1 Pasir Ris Rise  #05-01 ,1,103,Strata,873000,-,8476,787,11-NOV-2013,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,HDB,18,51,518080,East Region,Pasir Ris
LUSH ACRES,3 Fernvale Close  #11-08 ,1,115,Strata,974400,-,8473,787,11-NOV-2013,Executive Condominium,99 Yrs From 13/02/2013,Uncompleted,New Sale,HDB,28,79,797486,North East Region,Sengkang
SEA HORIZON,15 Pasir Ris Rise  #11-32 ,1,142,Strata,1285000,-,9049,841,11-NOV-2013,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,HDB,18,51,518087,East Region,Pasir Ris
LUSH ACRES,3 Fernvale Close  #25-05 ,1,123,Strata,918800,-,7470,694,11-NOV-2013,Executive Condominium,99 Yrs From 13/02/2013,Uncompleted,New Sale,HDB,28,79,797486,North East Region,Sengkang
SEA HORIZON,23 Pasir Ris Rise  #05-45 ,1,116,Strata,1026000,-,8845,822,11-NOV-2013,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,HDB,18,51,518091,East Region,Pasir Ris
