Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
WANDERVALE,363 Choa Chu Kang Avenue 3  #13-28 ,1,89,Strata,950000,-,10674,992,15-FEB-2019,Executive Condominium,99 Yrs From 08/12/2014,2018,Resale,HDB,23,68,689885,West Region,Choa Chu Kang
THE CANOPY,75 Yishun Avenue 11  #02-12 ,1,105,Strata,838000,-,7981,741,14-FEB-2019,Executive Condominium,99 Yrs From 14/06/2010,2014,Resale,Private,27,76,768860,North Region,Yishun
THE RIVERVALE,3 Rivervale Link  #04-26 ,1,127,Strata,980000,-,7717,717,14-FEB-2019,Executive Condominium,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545119,North East Region,Sengkang
WOODSVALE,17 Woodlands Drive 72  #04-46 ,1,122,Strata,808000,-,6623,615,14-FEB-2019,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738097,North Region,Woodlands
NORTHOAKS,22 Woodlands Crescent  #14-38 ,1,120,Strata,838000,-,6983,649,14-FEB-2019,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,25,73,738082,North Region,Woodlands
INZ RESIDENCE,68 Choa Chu Kang Avenue 5  #12-15 ,1,113,Strata,1116000,-,9876,918,14-FEB-2019,Executive Condominium,99 Yrs From 27/11/2015,Uncompleted,New Sale,Private,23,68,688195,West Region,Choa Chu Kang
SUMMERDALE,8 Boon Lay Drive  #10-17 ,1,113,Strata,925000,-,8186,760,11-FEB-2019,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,Private,22,64,649928,West Region,Jurong West
PRIVE,33 Punggol Field  #17-18 ,1,98,Strata,1100000,-,11224,1043,11-FEB-2019,Executive Condominium,99 Yrs From 14/09/2010,2013,Resale,Private,19,82,828817,North East Region,Punggol
PINEVALE,8 Tampines Street 73  #03-03 ,1,129,Strata,960000,-,7442,691,11-FEB-2019,Executive Condominium,99 Yrs From 31/01/1997,1999,Resale,Private,18,52,528826,East Region,Tampines
THE CANOPY,77 Yishun Avenue 11  #10-16 ,1,81,Strata,745000,-,9198,854,08-FEB-2019,Executive Condominium,99 Yrs From 14/06/2010,2014,Resale,HDB,27,76,768861,North Region,Yishun
THE RIVERVALE,7 Rivervale Link  #15-40 ,1,250,Strata,1400000,-,5600,520,04-FEB-2019,Executive Condominium,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545125,North East Region,Sengkang
ESPARINA RESIDENCES,115 Compassvale Bow  #03-11 ,1,93,Strata,1028000,-,11054,1027,01-FEB-2019,Executive Condominium,99 Yrs From 02/06/2010,2013,Resale,Private,19,54,544815,North East Region,Sengkang
WOODSVALE,3 Woodlands Drive 72  #10-07 ,1,119,Strata,870000,-,7311,679,01-FEB-2019,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738090,North Region,Woodlands
ESPARINA RESIDENCES,127 Compassvale Bow  #03-34 ,1,77,Strata,895000,-,11623,1080,31-JAN-2019,Executive Condominium,99 Yrs From 02/06/2010,2013,Resale,HDB,19,54,544821,North East Region,Sengkang
