Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
SIMEI GREEN CONDOMINIUM,3 Simei Street 4  #10-06 ,1,90,Strata,375000,-,4167,387,10-JUN-2005,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529862,East Region,Tampines
THE QUINTET,38 Choa Chu Kang Street 64  #14-05 ,1,120,Strata,495740,-,4131,384,10-JUN-2005,Executive Condominium,99 Yrs From 22/01/2003,Uncompleted,New Sale,Private,23,68,689102,West Region,Choa Chu Kang
WINDERMERE,22 Choa Chu Kang Street 64  #08-01 ,1,191,Strata,620000,-,3246,302,10-JUN-2005,Executive Condominium,99 Yrs From 03/03/1997,1999,Resale,Private,23,68,689094,West Region,Choa Chu Kang
LA CASA,54 Woodlands Drive 16  #11-10 ,1,106,Strata,433300,-,4088,380,09-JUN-2005,Executive Condominium,99 Yrs From 13/09/2004,Uncompleted,New Sale,Private,25,73,737899,North Region,Woodlands
THE FLORAVALE,230 Westwood Avenue  #11-28 ,1,115,Strata,430000,-,3739,347,09-JUN-2005,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648359,West Region,Jurong West
THE QUINTET,46 Choa Chu Kang Street 64  #18-21 ,1,223,Strata,741402,-,3325,309,08-JUN-2005,Executive Condominium,99 Yrs From 22/01/2003,Uncompleted,New Sale,HDB,23,68,689106,West Region,Choa Chu Kang
THE QUINTET,40 Choa Chu Kang Street 64  #07-11 ,1,118,Strata,466572,-,3954,367,08-JUN-2005,Executive Condominium,99 Yrs From 22/01/2003,Uncompleted,New Sale,Private,23,68,689103,West Region,Choa Chu Kang
THE QUINTET,46 Choa Chu Kang Street 64  #02-24 ,1,121,Strata,431696,-,3568,331,08-JUN-2005,Executive Condominium,99 Yrs From 22/01/2003,Uncompleted,New Sale,Private,23,68,689106,West Region,Choa Chu Kang
THE QUINTET,40 Choa Chu Kang Street 64  #18-10 ,1,117,Strata,494796,-,4229,393,08-JUN-2005,Executive Condominium,99 Yrs From 22/01/2003,Uncompleted,New Sale,Private,23,68,689103,West Region,Choa Chu Kang
THE QUINTET,40 Choa Chu Kang Street 64  #16-12 ,1,145,Strata,593000,-,4090,380,01-JUN-2005,Executive Condominium,99 Yrs From 22/01/2003,Uncompleted,New Sale,HDB,23,68,689103,West Region,Choa Chu Kang
THE QUINTET,40 Choa Chu Kang Street 64  #08-12 ,1,145,Strata,582996,-,4021,374,01-JUN-2005,Executive Condominium,99 Yrs From 22/01/2003,Uncompleted,New Sale,HDB,23,68,689103,West Region,Choa Chu Kang
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #04-03 ,1,90,Strata,350000,-,3889,361,01-JUN-2005,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529861,East Region,Tampines
WINDERMERE,28 Choa Chu Kang Street 64  #09-03 ,1,119,Strata,390000,-,3277,304,31-MAY-2005,Executive Condominium,99 Yrs From 03/03/1997,1999,Resale,Private,23,68,689097,West Region,Choa Chu Kang
