Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE VISIONAIRE,184 Canberra Drive  #08-32 ,1,95,Strata,831000,-,8747,813,27-JUL-2017,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,Private,27,76,767954,North Region,Sembawang
THE BROWNSTONE,156 Canberra Drive  #03-30 ,1,88,Strata,726400,-,8255,767,27-JUL-2017,Executive Condominium,99 Yrs From 28/04/2014,2017,New Sale,Private,27,76,768082,North Region,Sembawang
INZ RESIDENCE,64 Choa Chu Kang Avenue 5  #01-10 ,1,109,Strata,926000,-,8495,789,27-JUL-2017,Executive Condominium,99 Yrs From 27/11/2015,Uncompleted,New Sale,HDB,23,68,688193,West Region,Choa Chu Kang
NORTHWAVE,101 Woodlands View  #08-03 ,1,92,Strata,757600,-,8235,765,27-JUL-2017,Executive Condominium,99 Yrs From 25/05/2015,Uncompleted,New Sale,N.A,25,73,737708,North Region,Woodlands
THE VISIONAIRE,200 Canberra Drive  #02-61 ,1,91,Strata,789000,-,8670,805,27-JUL-2017,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,N.A,27,76,767962,North Region,Sembawang
SIGNATURE AT YISHUN,39 Yishun Street 51  #10-37 ,1,102,Strata,797445,-,7818,726,27-JUL-2017,Executive Condominium,99 Yrs From 25/08/2014,2017,New Sale,HDB,27,76,767994,North Region,Yishun
BISHAN LOFT,33 Bishan Street 11  #06-12 ,1,109,Strata,1255000,-,11514,1070,27-JUL-2017,Executive Condominium,99 Yrs From 13/12/2000,2003,Resale,HDB,20,57,579820,Central Region,Bishan
PARC LIFE,41 Sembawang Crescent  #07-40 ,1,93,Strata,786240,-,8454,785,27-JUL-2017,Executive Condominium,99 Yrs From 13/10/2014,Uncompleted,New Sale,HDB,27,75,756988,North Region,Sembawang
THE VISIONAIRE,186 Canberra Drive  #05-35 ,1,81,Strata,734500,-,9068,842,27-JUL-2017,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,HDB,27,76,767955,North Region,Sembawang
THE VISIONAIRE,184 Canberra Drive  #07-29 ,1,91,Strata,797000,-,8758,814,27-JUL-2017,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,N.A,27,76,767954,North Region,Sembawang
