Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE FLORAVALE,230 Westwood Avenue  #10-27 ,1,116,Strata,458400,-,3952,367,29-DEC-2000,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648359,West Region,Jurong West
THE FLORAVALE,242 Westwood Avenue  #09-50 ,1,123,Strata,515300,-,4189,389,29-DEC-2000,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648365,West Region,Jurong West
THE FLORAVALE,232 Westwood Avenue  #11-32 ,1,120,Strata,487100,-,4059,377,29-DEC-2000,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648360,West Region,Jurong West
THE FLORAVALE,222 Westwood Avenue  #01-09 ,1,168,Strata,630300,-,3752,349,28-DEC-2000,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648355,West Region,Jurong West
NORTHOAKS,30 Woodlands Crescent  #03-09 ,1,116,Strata,529600,-,4566,424,26-DEC-2000,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,25,73,738086,North Region,Woodlands
YEW MEI GREEN,56 Choa Chu Kang North 6  #02-34 ,1,124,Strata,512000,-,4129,384,22-DEC-2000,Executive Condominium,99 Yrs From 01/12/1997,2000,New Sale,HDB,23,68,689577,West Region,Choa Chu Kang
THE FLORAVALE,246 Westwood Avenue  #06-59 ,1,120,Strata,499900,-,4166,387,22-DEC-2000,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648367,West Region,Jurong West
NORTHOAKS,30 Woodlands Crescent  #15-14 ,1,231,Strata,819800,-,3549,330,21-DEC-2000,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,Private,25,73,738086,North Region,Woodlands
THE FLORAVALE,246 Westwood Avenue  #04-60 ,1,123,Strata,506200,-,4115,382,21-DEC-2000,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648367,West Region,Jurong West
NORTHOAKS,26 Woodlands Crescent  #04-31 ,1,115,Strata,523300,-,4550,423,21-DEC-2000,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,25,73,738084,North Region,Woodlands
THE FLORAVALE,248 Westwood Avenue  #08-61 ,1,123,Strata,521500,-,4240,394,20-DEC-2000,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648353,West Region,Jurong West
THE RIVERVALE,7 Rivervale Link  #02-48 ,1,122,Strata,569810,-,4671,434,19-DEC-2000,Executive Condominium,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545125,North East Region,Sengkang
THE RIVERVALE,1 Rivervale Link  #03-04 ,1,122,Strata,566865,-,4646,432,19-DEC-2000,Executive Condominium,99 Yrs From 18/12/1997,2000,New Sale,Private,19,54,545118,North East Region,Sengkang
THE FLORAVALE,232 Westwood Avenue  #04-29 ,1,115,Strata,475800,-,4137,384,14-DEC-2000,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648360,West Region,Jurong West
NORTHOAKS,26 Woodlands Crescent  #12-28 ,1,116,Strata,575000,-,4957,461,14-DEC-2000,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,25,73,738084,North Region,Woodlands
THE FLORAVALE,246 Westwood Avenue  #07-59 ,1,120,Strata,502900,-,4191,389,14-DEC-2000,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648367,West Region,Jurong West
WOODSVALE,11 Woodlands Drive 72  #04-39 ,1,115,Strata,476239,-,4141,385,14-DEC-2000,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,25,73,738094,North Region,Woodlands
THE FLORAVALE,248 Westwood Avenue  #05-61 ,1,123,Strata,511700,-,4160,386,13-DEC-2000,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648353,West Region,Jurong West
THE FLORAVALE,234 Westwood Avenue  #02-36 ,1,157,Strata,585800,-,3731,347,13-DEC-2000,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,22,64,648361,West Region,Jurong West
NORTHOAKS,20 Woodlands Crescent  #08-42 ,1,115,Strata,530200,-,4610,428,12-DEC-2000,Executive Condominium,99 Yrs From 16/12/1997,2000,New Sale,HDB,25,73,738081,North Region,Woodlands
WOODSVALE,9 Woodlands Drive 72  #14-23 ,1,126,Strata,558653,-,4434,412,12-DEC-2000,Executive Condominium,99 Yrs From 22/09/1997,2000,New Sale,HDB,25,73,738093,North Region,Woodlands
YEW MEI GREEN,56 Choa Chu Kang North 6  #19-35 ,1,199,Strata,787265,-,3956,368,12-DEC-2000,Executive Condominium,99 Yrs From 01/12/1997,2000,New Sale,HDB,23,68,689577,West Region,Choa Chu Kang
