Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE CANOPY,83 Yishun Avenue 11  #08-30 ,1,82,Strata,580000,-,7073,657,30-DEC-2010,Executive Condominium,99 Yrs From 14/06/2010,Uncompleted,New Sale,HDB,27,76,768864,North Region,Yishun
NORTHOAKS,20 Woodlands Crescent  #13-42 ,1,115,Strata,778000,-,6765,629,30-DEC-2010,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,25,73,738081,North Region,Woodlands
THE CANOPY,73 Yishun Avenue 11  #05-06 ,1,112,Strata,793000,-,7080,658,30-DEC-2010,Executive Condominium,99 Yrs From 14/06/2010,Uncompleted,New Sale,HDB,27,76,768859,North Region,Yishun
THE CANOPY,81 Yishun Avenue 11  #08-24 ,1,109,Strata,775000,-,7110,661,30-DEC-2010,Executive Condominium,99 Yrs From 14/06/2010,Uncompleted,New Sale,HDB,27,76,768863,North Region,Yishun
PARK GREEN,6 Rivervale Link  #01-06 ,1,162,Strata,960000,-,5926,551,30-DEC-2010,Executive Condominium,99 Yrs From 17/08/2001,2004,Resale,Private,19,54,545042,North East Region,Sengkang
LILYDALE,556 Yishun Avenue 6  #11-09 ,1,117,Strata,740000,-,6325,588,30-DEC-2010,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,27,76,768964,North Region,Yishun
THE ESPARIS,9A Pasir Ris Drive 4  #05-22 ,1,136,Strata,960000,-,7059,656,30-DEC-2010,Executive Condominium,99 Yrs From 21/01/2002,2005,Resale,HDB,18,51,519463,East Region,Pasir Ris
ESPARINA RESIDENCES,125 Compassvale Bow  #01-29 ,1,100,Strata,690000,-,6900,641,30-DEC-2010,Executive Condominium,99 Yrs From 02/06/2010,Uncompleted,New Sale,HDB,19,54,544820,North East Region,Sengkang
THE FLORAVALE,238 Westwood Avenue  #10-43 ,1,116,Strata,780000,-,6724,625,30-DEC-2010,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648363,West Region,Jurong West
THE RIVERVALE,3 Rivervale Link  #03-29 ,1,121,Strata,790000,-,6529,607,30-DEC-2010,Executive Condominium,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545119,North East Region,Sengkang
ESPARINA RESIDENCES,113 Compassvale Bow  #14-06 ,1,77,Strata,649000,-,8429,783,30-DEC-2010,Executive Condominium,99 Yrs From 02/06/2010,Uncompleted,New Sale,HDB,19,54,544814,North East Region,Sengkang
THE RIVERVALE,1 Rivervale Link  #09-08 ,1,116,Strata,843000,-,7267,675,30-DEC-2010,Executive Condominium,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang
PARK GREEN,12 Rivervale Link  #17-20 ,1,180,Strata,963000,-,5350,497,30-DEC-2010,Executive Condominium,99 Yrs From 17/08/2001,2004,Resale,HDB,19,54,545045,North East Region,Sengkang
THE FLORAVALE,248 Westwood Avenue  #02-63 ,1,117,Strata,738000,-,6308,586,30-DEC-2010,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648353,West Region,Jurong West
ESPARINA RESIDENCES,113 Compassvale Bow  #10-06 ,1,77,Strata,633000,-,8221,764,30-DEC-2010,Executive Condominium,99 Yrs From 02/06/2010,Uncompleted,New Sale,HDB,19,54,544814,North East Region,Sengkang
ESPARINA RESIDENCES,123 Compassvale Bow  #04-28 ,1,126,Strata,822000,-,6524,606,30-DEC-2010,Executive Condominium,99 Yrs From 02/06/2010,Uncompleted,New Sale,HDB,19,54,544819,North East Region,Sengkang
EASTVALE,31 Pasir Ris Drive 3  #05-06 ,1,102,Strata,778000,-,7627,709,30-DEC-2010,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,Private,18,51,519491,East Region,Pasir Ris
THE CANOPY,83 Yishun Avenue 11  #03-30 ,1,82,Strata,555000,-,6768,629,30-DEC-2010,Executive Condominium,99 Yrs From 14/06/2010,Uncompleted,New Sale,HDB,27,76,768864,North Region,Yishun
THE FLORAVALE,244 Westwood Avenue  #04-56 ,1,115,Strata,730000,-,6348,590,29-DEC-2010,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648366,West Region,Jurong West
ESPARINA RESIDENCES,119 Compassvale Bow  #06-19 ,1,93,Strata,774000,-,8323,773,29-DEC-2010,Executive Condominium,99 Yrs From 02/06/2010,Uncompleted,New Sale,HDB,19,54,544817,North East Region,Sengkang
ESPARINA RESIDENCES,117 Compassvale Bow  #18-13 ,1,130,Strata,981000,-,7546,701,29-DEC-2010,Executive Condominium,99 Yrs From 02/06/2010,Uncompleted,New Sale,HDB,19,54,544816,North East Region,Sengkang
ESPARINA RESIDENCES,117 Compassvale Bow  #15-15 ,1,108,Strata,900000,-,8333,774,29-DEC-2010,Executive Condominium,99 Yrs From 02/06/2010,Uncompleted,New Sale,Private,19,54,544816,North East Region,Sengkang
ESPARINA RESIDENCES,113 Compassvale Bow  #17-06 ,1,77,Strata,666000,-,8649,804,29-DEC-2010,Executive Condominium,99 Yrs From 02/06/2010,Uncompleted,New Sale,HDB,19,54,544814,North East Region,Sengkang
ESPARINA RESIDENCES,117 Compassvale Bow  #18-15 ,1,130,Strata,961000,-,7392,687,28-DEC-2010,Executive Condominium,99 Yrs From 02/06/2010,Uncompleted,New Sale,HDB,19,54,544816,North East Region,Sengkang
THE RIVERVALE,3 Rivervale Link  #03-18 ,1,122,Strata,788000,-,6459,600,28-DEC-2010,Executive Condominium,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545119,North East Region,Sengkang
THE CANOPY,75 Yishun Avenue 11  #06-09 ,1,96,Strata,665000,-,6927,644,28-DEC-2010,Executive Condominium,99 Yrs From 14/06/2010,Uncompleted,New Sale,HDB,27,76,768860,North Region,Yishun
THE RIVERVALE,1 Rivervale Link  #03-16 ,1,121,Strata,820000,-,6777,630,28-DEC-2010,Executive Condominium,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang
ESPARINA RESIDENCES,123 Compassvale Bow  #06-27 ,1,93,Strata,707000,-,7602,706,28-DEC-2010,Executive Condominium,99 Yrs From 02/06/2010,Uncompleted,New Sale,HDB,19,54,544819,North East Region,Sengkang
THE RIVERVALE,1 Rivervale Link  #08-15 ,1,122,Strata,868000,-,7115,661,28-DEC-2010,Executive Condominium,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang
