Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
WESTWOOD RESIDENCES,184 Westwood Avenue  #02-12 ,1,96,Strata,844200,-,8794,817,15-JUN-2017,Executive Condominium,99 Yrs From 14/04/2014,Uncompleted,New Sale,N.A,22,64,648147,West Region,Jurong West
SOL ACRES,2 Choa Chu Kang Grove  #03-01 ,1,53,Strata,431000,-,8132,755,15-JUN-2017,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,Private,23,68,688238,West Region,Choa Chu Kang
SIMEI GREEN CONDOMINIUM,15 Simei Street 4  #05-04 ,1,116,Strata,856000,-,7379,686,14-JUN-2017,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529868,East Region,Tampines
THE CRITERION,15 Yishun Street 51  #02-30 ,1,85,Strata,708000,-,8329,774,14-JUN-2017,Executive Condominium,99 Yrs From 25/08/2014,Uncompleted,New Sale,HDB,27,76,767973,North Region,Yishun
THE FLORIDA,76 Hougang Avenue 7  #14-21 ,1,113,Strata,845000,-,7478,695,14-JUN-2017,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,19,53,538807,North East Region,Hougang
SIGNATURE AT YISHUN,31 Yishun Street 51  #12-24 ,1,102,Strata,842800,-,8263,768,14-JUN-2017,Executive Condominium,99 Yrs From 25/08/2014,Uncompleted,New Sale,N.A,27,76,767990,North Region,Yishun
THE VISIONAIRE,190 Canberra Drive  #02-41 ,1,91,Strata,814000,-,8945,831,14-JUN-2017,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,N.A,27,76,767957,North Region,Sembawang
NORTHWAVE,103 Woodlands View  #09-08 ,1,103,Strata,839900,-,8154,758,14-JUN-2017,Executive Condominium,99 Yrs From 25/05/2015,Uncompleted,New Sale,HDB,25,73,737709,North Region,Woodlands
SIGNATURE AT YISHUN,29 Yishun Street 51  #06-17 ,1,100,Strata,787800,-,7878,732,14-JUN-2017,Executive Condominium,99 Yrs From 25/08/2014,Uncompleted,New Sale,HDB,27,76,767989,North Region,Yishun
WESTWOOD RESIDENCES,194 Westwood Avenue  #05-32 ,1,115,Strata,983700,-,8554,795,14-JUN-2017,Executive Condominium,99 Yrs From 14/04/2014,Uncompleted,New Sale,N.A,22,64,648152,West Region,Jurong West
PARC LIFE,37 Sembawang Crescent  #07-35 ,1,93,Strata,729600,-,7845,729,14-JUN-2017,Executive Condominium,99 Yrs From 13/10/2014,Uncompleted,New Sale,Private,27,75,756986,North Region,Sembawang
THE VISIONAIRE,196 Canberra Drive  #07-56 ,1,79,Strata,713000,-,9025,838,14-JUN-2017,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,HDB,27,76,767960,North Region,Sembawang
PRIVE,37 Punggol Field  #04-34 ,1,101,Strata,940000,-,9307,865,13-JUN-2017,Executive Condominium,99 Yrs From 14/09/2010,2013,Resale,HDB,19,82,828809,North East Region,Punggol
THE VALES,85 Anchorvale Crescent  #05-31 ,1,71,Strata,670140,-,9439,877,13-JUN-2017,Executive Condominium,99 Yrs From 19/05/2014,2017,New Sale,N.A,19,54,544627,North East Region,Sengkang
THE CRITERION,3 Yishun Street 51  #02-08 ,1,93,Strata,777600,-,8361,777,13-JUN-2017,Executive Condominium,99 Yrs From 25/08/2014,Uncompleted,New Sale,HDB,27,76,767997,North Region,Yishun
SIGNATURE AT YISHUN,41 Yishun Street 51  #09-42 ,1,110,Strata,961785,-,8744,812,13-JUN-2017,Executive Condominium,99 Yrs From 25/08/2014,Uncompleted,New Sale,HDB,27,76,767995,North Region,Yishun
SOL ACRES,10 Choa Chu Kang Grove  #16-22 ,1,97,Strata,866000,-,8928,829,13-JUN-2017,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688207,West Region,Choa Chu Kang
SIGNATURE AT YISHUN,21 Yishun Street 51  #10-03 ,1,72,Strata,611325,-,8491,789,13-JUN-2017,Executive Condominium,99 Yrs From 25/08/2014,Uncompleted,New Sale,N.A,27,76,768085,North Region,Yishun
THE VISIONAIRE,196 Canberra Drive  #02-56 ,1,79,Strata,697000,-,8823,820,13-JUN-2017,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,N.A,27,76,767960,North Region,Sembawang
THE VISIONAIRE,176 Canberra Drive  #04-15 ,1,81,Strata,708000,-,8741,812,13-JUN-2017,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,Private,27,76,767950,North Region,Sembawang
THE VISIONAIRE,170 Canberra Drive  #03-01 ,1,79,Strata,683000,-,8646,803,13-JUN-2017,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,HDB,27,76,768002,North Region,Sembawang
INZ RESIDENCE,68 Choa Chu Kang Avenue 5  #15-14 ,1,109,Strata,906000,-,8312,772,12-JUN-2017,Executive Condominium,99 Yrs From 27/11/2015,Uncompleted,New Sale,HDB,23,68,688195,West Region,Choa Chu Kang
PARC LIFE,37 Sembawang Crescent  #11-34 ,1,93,Strata,745750,-,8019,745,12-JUN-2017,Executive Condominium,99 Yrs From 13/10/2014,Uncompleted,New Sale,HDB,27,75,756986,North Region,Sembawang
SOL ACRES,14 Choa Chu Kang Grove  #16-38 ,1,57,Strata,504000,-,8842,821,12-JUN-2017,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688209,West Region,Choa Chu Kang
WESTWOOD RESIDENCES,186 Westwood Avenue  #02-16 ,1,96,Strata,796500,-,8297,771,12-JUN-2017,Executive Condominium,99 Yrs From 14/04/2014,2017,New Sale,HDB,22,64,648148,West Region,Jurong West
THE VISIONAIRE,200 Canberra Drive  #08-62 ,1,91,Strata,806500,-,8863,823,11-JUN-2017,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,HDB,27,76,767962,North Region,Sembawang
THE VISIONAIRE,180 Canberra Drive  #07-23 ,1,122,Strata,1064500,-,8725,811,11-JUN-2017,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,HDB,27,76,767952,North Region,Sembawang
PARC LIFE,35 Sembawang Crescent  #06-29 ,1,118,Strata,987840,-,8372,778,11-JUN-2017,Executive Condominium,99 Yrs From 13/10/2014,Uncompleted,New Sale,HDB,27,75,756985,North Region,Sembawang
INZ RESIDENCE,62 Choa Chu Kang Avenue 5  #06-07 ,1,90,Strata,723000,-,8033,746,11-JUN-2017,Executive Condominium,99 Yrs From 27/11/2015,Uncompleted,New Sale,HDB,23,68,688192,West Region,Choa Chu Kang
PARC LIFE,35 Sembawang Crescent  #08-29 ,1,118,Strata,997440,-,8453,785,11-JUN-2017,Executive Condominium,99 Yrs From 13/10/2014,Uncompleted,New Sale,HDB,27,75,756985,North Region,Sembawang
WESTWOOD RESIDENCES,182 Westwood Avenue  #04-06 ,1,96,Strata,775800,-,8081,751,11-JUN-2017,Executive Condominium,99 Yrs From 14/04/2014,2017,New Sale,HDB,22,64,648146,West Region,Jurong West
THE VISIONAIRE,170 Canberra Drive  #05-01 ,1,79,Strata,695000,-,8797,817,11-JUN-2017,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,N.A,27,76,768002,North Region,Sembawang
SOL ACRES,22 Choa Chu Kang Grove  #11-52 ,1,86,Strata,710000,-,8256,767,11-JUN-2017,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688213,West Region,Choa Chu Kang
NORTHWAVE,103 Woodlands View  #06-08 ,1,103,Strata,813200,-,7895,733,11-JUN-2017,Executive Condominium,99 Yrs From 25/05/2015,Uncompleted,New Sale,HDB,25,73,737709,North Region,Woodlands
PARC LIFE,23 Sembawang Crescent  #12-05 ,1,87,Strata,733400,-,8430,783,11-JUN-2017,Executive Condominium,99 Yrs From 13/10/2014,Uncompleted,New Sale,HDB,27,75,757054,North Region,Sembawang
INZ RESIDENCE,68 Choa Chu Kang Avenue 5  #09-14 ,1,97,Strata,844000,-,8701,808,11-JUN-2017,Executive Condominium,99 Yrs From 27/11/2015,Uncompleted,New Sale,N.A,23,68,688195,West Region,Choa Chu Kang
THE CRITERION,13 Yishun Street 51  #09-27 ,1,116,Strata,1012800,-,8731,811,11-JUN-2017,Executive Condominium,99 Yrs From 25/08/2014,2018,New Sale,Private,27,76,767972,North Region,Yishun
THE BROWNSTONE,156 Canberra Drive  #03-31 ,1,91,Strata,780000,-,8571,796,10-JUN-2017,Executive Condominium,99 Yrs From 28/04/2014,2017,New Sale,Private,27,76,768082,North Region,Sembawang
SOL ACRES,10 Choa Chu Kang Grove  #15-24 ,1,81,Strata,715000,-,8827,820,10-JUN-2017,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688207,West Region,Choa Chu Kang
SIGNATURE AT YISHUN,33 Yishun Street 51  #06-27 ,1,110,Strata,875655,-,7961,740,10-JUN-2017,Executive Condominium,99 Yrs From 25/08/2014,Uncompleted,New Sale,N.A,27,76,767991,North Region,Yishun
INZ RESIDENCE,78 Choa Chu Kang Avenue 5  #04-33 ,1,103,Strata,858000,-,8330,774,10-JUN-2017,Executive Condominium,99 Yrs From 27/11/2015,Uncompleted,New Sale,HDB,23,68,688200,West Region,Choa Chu Kang
SOL ACRES,12 Choa Chu Kang Grove  #02-33 ,1,79,Strata,652000,-,8253,767,10-JUN-2017,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,N.A,23,68,688208,West Region,Choa Chu Kang
PARC LIFE,31 Sembawang Crescent  #12-21 ,1,99,Strata,841700,-,8502,790,10-JUN-2017,Executive Condominium,99 Yrs From 13/10/2014,2018,New Sale,Private,27,75,756983,North Region,Sembawang
THE VISIONAIRE,176 Canberra Drive  #03-15 ,1,81,Strata,694425,-,8573,796,10-JUN-2017,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,HDB,27,76,767950,North Region,Sembawang
