Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
SOL ACRES,26 Choa Chu Kang Grove  #12-59 ,1,86,Strata,707000,-,8221,764,18-DEC-2016,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688215,West Region,Choa Chu Kang
PARC LIFE,39 Sembawang Crescent  #01-38 ,1,88,Strata,675450,673150,7649,711,17-DEC-2016,Executive Condominium,99 Yrs From 13/10/2014,Uncompleted,New Sale,HDB,27,75,756987,North Region,Sembawang
THE VISIONAIRE,190 Canberra Drive  #04-43 ,1,106,Strata,943000,-,8896,826,17-DEC-2016,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,HDB,27,76,767957,North Region,Sembawang
THE TERRACE,98 Edgedale Plains  #10-40 ,1,100,Strata,846200,-,8462,786,17-DEC-2016,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,19,82,828689,North East Region,Punggol
SOL ACRES,6 Choa Chu Kang Grove  #19-14 ,1,102,Strata,869000,-,8520,791,17-DEC-2016,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688240,West Region,Choa Chu Kang
SOL ACRES,10 Choa Chu Kang Grove  #09-24 ,1,81,Strata,697000,-,8605,799,17-DEC-2016,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,N.A,23,68,688207,West Region,Choa Chu Kang
SOL ACRES,18 Choa Chu Kang Grove  #02-44 ,1,109,Strata,886000,-,8128,755,17-DEC-2016,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688211,West Region,Choa Chu Kang
PARC LIFE,23 Sembawang Crescent  #16-08 ,1,99,Strata,928150,925850,9352,869,17-DEC-2016,Executive Condominium,99 Yrs From 13/10/2014,Uncompleted,New Sale,HDB,27,75,757054,North Region,Sembawang
THE CRITERION,7 Yishun Street 51  #01-15 ,1,88,Strata,689600,-,7836,728,17-DEC-2016,Executive Condominium,99 Yrs From 25/08/2014,Uncompleted,New Sale,N.A,27,76,767969,North Region,Yishun
THE TERRACE,80 Edgedale Plains  #03-04 ,1,93,Strata,765400,-,8230,765,17-DEC-2016,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,Private,19,82,828735,North East Region,Punggol
SOL ACRES,2 Choa Chu Kang Grove  #16-04 ,1,102,Strata,877000,-,8598,799,17-DEC-2016,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688238,West Region,Choa Chu Kang
SOL ACRES,4 Choa Chu Kang Grove  #22-07 ,1,102,Strata,914000,-,8961,832,16-DEC-2016,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688239,West Region,Choa Chu Kang
