Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
HERON BAY,61 Upper Serangoon View  #08-17 ,1,129,Strata,1009000,-,7822,727,09-SEP-2013,Executive Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,HDB,19,53,534015,North East Region,Hougang
WINDERMERE,28 Choa Chu Kang Street 64  #16-03 ,1,119,Strata,920000,-,7731,718,09-SEP-2013,Executive Condominium,99 Yrs From 03/03/1997,1999,Resale,Private,23,68,689097,West Region,Choa Chu Kang
ECOPOLITAN,132 Punggol Walk  #08-20 ,1,98,Strata,889300,-,9074,843,09-SEP-2013,Executive Condominium,99 Yrs From 04/12/2012,Uncompleted,New Sale,HDB,19,82,828777,North East Region,Punggol
LUSH ACRES,3 Fernvale Close  #14-07 ,1,105,Strata,924800,-,8808,818,09-SEP-2013,Executive Condominium,99 Yrs From 13/02/2013,Uncompleted,New Sale,HDB,28,79,797486,North East Region,Sengkang
LA CASA,56 Woodlands Drive 16  #01-16 ,1,91,Strata,800000,-,8791,817,09-SEP-2013,Executive Condominium,99 Yrs From 13/09/2004,2008,Resale,HDB,25,73,737898,North Region,Woodlands
TWIN FOUNTAINS,15A Woodlands Avenue 6  #01-16 ,1,102,Strata,787500,-,7721,717,09-SEP-2013,Executive Condominium,99 Yrs From 19/12/2012,Uncompleted,New Sale,HDB,25,73,738996,North Region,Woodlands
FORESTVILLE,48 Woodlands Drive 16  #01-54 ,1,164,Strata,1163190,-,7093,659,09-SEP-2013,Executive Condominium,99 Yrs From 06/08/2012,Uncompleted,New Sale,HDB,25,73,737763,North Region,Woodlands
SEA HORIZON,17 Pasir Ris Rise  #05-33 ,1,119,Strata,1062000,-,8924,829,07-SEP-2013,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,HDB,18,51,518088,East Region,Pasir Ris
SEA HORIZON,21 Pasir Ris Rise  #09-43 ,1,107,Strata,966000,-,9028,839,07-SEP-2013,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,HDB,18,51,518090,East Region,Pasir Ris
TWIN FOUNTAINS,19A Woodlands Avenue 6  #10-30 ,1,111,Strata,885280,-,7975,741,06-SEP-2013,Executive Condominium,99 Yrs From 19/12/2012,Uncompleted,New Sale,HDB,25,73,739000,North Region,Woodlands
FORESTVILLE,34 Woodlands Drive 16  #08-30 ,1,130,Strata,1122125,-,8632,802,06-SEP-2013,Executive Condominium,99 Yrs From 06/08/2012,Uncompleted,New Sale,HDB,25,73,737771,North Region,Woodlands
LA CASA,50 Woodlands Drive 16  #07-02 ,1,106,Strata,915000,-,8632,802,06-SEP-2013,Executive Condominium,99 Yrs From 13/09/2004,2008,Resale,HDB,25,73,737901,North Region,Woodlands
THE RIVERVALE,3 Rivervale Link  #12-22 ,1,117,Strata,990000,-,8462,786,06-SEP-2013,Executive Condominium,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545119,North East Region,Sengkang
NUOVO,23 Ang Mo Kio Avenue 9  #14-10 ,1,119,Strata,1200000,-,10084,937,06-SEP-2013,Executive Condominium,99 Yrs From 02/05/2001,2004,Resale,HDB,20,56,569787,North East Region,Ang Mo Kio
ECOPOLITAN,136 Punggol Walk  #05-27 ,1,113,Strata,971400,-,8596,799,06-SEP-2013,Executive Condominium,99 Yrs From 04/12/2012,Uncompleted,New Sale,HDB,19,82,828699,North East Region,Punggol
