Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
WOODSVALE,11 Woodlands Drive 72  #10-35 ,1,126,Strata,748000,-,5937,552,21-JUL-2010,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738094,North Region,Woodlands
LILYDALE,558 Yishun Avenue 6  #08-21 ,1,115,Strata,750000,-,6522,606,21-JUL-2010,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,Private,27,76,768965,North Region,Yishun
THE ESPARIS,9A Pasir Ris Drive 4  #01-18 ,1,118,Strata,786000,-,6661,619,21-JUL-2010,Executive Condominium,99 Yrs From 21/01/2002,2005,Resale,HDB,18,51,519463,East Region,Pasir Ris
NORTHOAKS,28 Woodlands Crescent  #12-21 ,1,113,Strata,660000,-,5841,543,20-JUL-2010,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,25,73,738085,North Region,Woodlands
SIMEI GREEN CONDOMINIUM,11 Simei Street 4  #04-04 ,1,116,Strata,725000,-,6250,581,20-JUL-2010,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529866,East Region,Tampines
YEW MEI GREEN,56 Choa Chu Kang North 6  #02-34 ,1,124,Strata,728000,-,5871,545,20-JUL-2010,Executive Condominium,99 Yrs From 01/12/1997,2000,Resale,HDB,23,68,689577,West Region,Choa Chu Kang
NORTHOAKS,28 Woodlands Crescent  #07-23 ,1,115,Strata,680000,-,5913,549,20-JUL-2010,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,25,73,738085,North Region,Woodlands
THE FLORAVALE,234 Westwood Avenue  #12-35 ,1,115,Strata,735000,-,6391,594,19-JUL-2010,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,Private,22,64,648361,West Region,Jurong West
WESTMERE,77 Jurong East Street 13  #06-03 ,1,112,Strata,755000,-,6741,626,19-JUL-2010,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,HDB,22,60,609653,West Region,Jurong East
THE RIVERVALE,3 Rivervale Link  #04-27 ,1,117,Strata,800000,-,6838,635,19-JUL-2010,Executive Condominium,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545119,North East Region,Sengkang
YEW MEI GREEN,50 Choa Chu Kang North 6  #12-07 ,1,120,Strata,780000,-,6500,604,19-JUL-2010,Executive Condominium,99 Yrs From 01/12/1997,2000,Resale,HDB,23,68,689574,West Region,Choa Chu Kang
LILYDALE,558 Yishun Avenue 6  #03-21 ,1,115,Strata,683000,-,5939,552,19-JUL-2010,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,27,76,768965,North Region,Yishun
