Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
PARK GREEN,12 Rivervale Link  #06-20 ,1,112,Strata,408864,-,3651,339,16-DEC-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545045,North East Region,Sengkang
THE FLORAVALE,236 Westwood Avenue  #05-40 ,1,122,Strata,452600,-,3710,345,16-DEC-2002,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648362,West Region,Jurong West
THE ESPARIS,7 Pasir Ris Drive 4  #01-05 ,1,139,Strata,528444,-,3802,353,16-DEC-2002,Executive Condominium,99 Yrs From 21/01/2002,2005,New Sale,HDB,18,51,519459,East Region,Pasir Ris
PARK GREEN,12 Rivervale Link  #08-20 ,1,112,Strata,418340,-,3735,347,16-DEC-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545045,North East Region,Sengkang
WHITEWATER,25 Pasir Ris Street 72  #12-12 ,1,119,Strata,476460,-,4004,372,13-DEC-2002,Executive Condominium,99 Yrs From 23/07/2002,2005,New Sale,HDB,18,51,518766,East Region,Pasir Ris
PARK GREEN,6 Rivervale Link  #13-06 ,1,127,Strata,551460,-,4342,403,12-DEC-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545042,North East Region,Sengkang
THE FLORAVALE,230 Westwood Avenue  #09-26 ,1,123,Strata,450000,-,3659,340,10-DEC-2002,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648359,West Region,Jurong West
PARK GREEN,2 Rivervale Link  #11-04 ,1,144,Strata,584198,-,4057,377,09-DEC-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545040,North East Region,Sengkang
PARK GREEN,12 Rivervale Link  #05-21 ,1,129,Strata,466170,-,3614,336,09-DEC-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545045,North East Region,Sengkang
PARK GREEN,6 Rivervale Link  #06-09 ,1,126,Strata,498908,-,3960,368,09-DEC-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545042,North East Region,Sengkang
PARK GREEN,10 Rivervale Link  #09-19 ,1,112,Strata,422648,-,3774,351,09-DEC-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545044,North East Region,Sengkang
PARK GREEN,6 Rivervale Link  #16-07 ,1,126,Strata,563522,-,4472,415,09-DEC-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545042,North East Region,Sengkang
THE ESPARIS,9 Pasir Ris Drive 4  #10-11 ,1,110,Strata,448138,-,4074,378,05-DEC-2002,Executive Condominium,99 Yrs From 21/01/2002,2005,New Sale,HDB,18,51,519462,East Region,Pasir Ris
THE ESPARIS,7A Pasir Ris Drive 4  #01-08 ,1,150,Strata,525000,-,3500,325,05-DEC-2002,Executive Condominium,99 Yrs From 21/01/2002,2005,New Sale,HDB,18,51,519460,East Region,Pasir Ris
PARK GREEN,12 Rivervale Link  #17-21 ,1,193,Strata,640782,-,3320,308,05-DEC-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545045,North East Region,Sengkang
THE ESPARIS,9 Pasir Ris Drive 4  #09-11 ,1,110,Strata,445554,-,4050,376,04-DEC-2002,Executive Condominium,99 Yrs From 21/01/2002,2005,New Sale,Private,18,51,519462,East Region,Pasir Ris
THE ESPARIS,9 Pasir Ris Drive 4  #07-11 ,1,110,Strata,440386,-,4004,372,04-DEC-2002,Executive Condominium,99 Yrs From 21/01/2002,2005,New Sale,HDB,18,51,519462,East Region,Pasir Ris
PARK GREEN,2 Rivervale Link  #07-03 ,1,126,Strata,517000,-,4103,381,03-DEC-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545040,North East Region,Sengkang
PARK GREEN,6 Rivervale Link  #11-06 ,1,127,Strata,543707,-,4281,398,03-DEC-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545042,North East Region,Sengkang
THE FLORAVALE,238 Westwood Avenue  #04-41 ,1,122,Strata,430000,-,3525,327,02-DEC-2002,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648363,West Region,Jurong West
THE FLORAVALE,230 Westwood Avenue  #04-26 ,1,123,Strata,435800,-,3543,329,02-DEC-2002,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648359,West Region,Jurong West
PARK GREEN,8 Rivervale Link  #13-13 ,1,126,Strata,523030,-,4151,386,29-NOV-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545043,North East Region,Sengkang
THE ESPARIS,9B Pasir Ris Drive 4  #10-26 ,1,225,Strata,794654,-,3532,328,29-NOV-2002,Executive Condominium,99 Yrs From 21/01/2002,2005,New Sale,HDB,18,51,519464,East Region,Pasir Ris
PARK GREEN,2 Rivervale Link  #12-05 ,1,111,Strata,451078,-,4064,378,29-NOV-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,Private,19,54,545040,North East Region,Sengkang
PARK GREEN,6 Rivervale Link  #17-08 ,1,183,Strata,656289,-,3586,333,28-NOV-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545042,North East Region,Sengkang
THE FLORAVALE,236 Westwood Avenue  #04-40 ,1,122,Strata,449600,-,3685,342,28-NOV-2002,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648362,West Region,Jurong West
THE ESPARIS,9 Pasir Ris Drive 4  #03-15 ,1,120,Strata,493122,-,4109,382,28-NOV-2002,Executive Condominium,99 Yrs From 21/01/2002,2005,New Sale,Private,18,51,519462,East Region,Pasir Ris
PARK GREEN,8 Rivervale Link  #11-13 ,1,126,Strata,515277,-,4090,380,28-NOV-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545043,North East Region,Sengkang
PARK GREEN,6 Rivervale Link  #13-07 ,1,127,Strata,551460,-,4342,403,27-NOV-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,Private,19,54,545042,North East Region,Sengkang
PARK GREEN,8 Rivervale Link  #17-14 ,1,201,Strata,681273,-,3389,315,27-NOV-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,Private,19,54,545043,North East Region,Sengkang
THE ESPARIS,9 Pasir Ris Drive 4  #08-11 ,1,110,Strata,442969,-,4027,374,26-NOV-2002,Executive Condominium,99 Yrs From 21/01/2002,2005,New Sale,HDB,18,51,519462,East Region,Pasir Ris
PARK GREEN,12 Rivervale Link  #13-22 ,1,141,Strata,585060,-,4149,385,25-NOV-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545045,North East Region,Sengkang
PARK GREEN,12 Rivervale Link  #09-20 ,1,112,Strata,422648,-,3774,351,25-NOV-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545045,North East Region,Sengkang
THE FLORAVALE,240 Westwood Avenue  #03-48 ,1,122,Strata,427000,-,3500,325,25-NOV-2002,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648364,West Region,Jurong West
PARK GREEN,2 Rivervale Link  #07-02 ,1,126,Strata,497185,-,3946,367,25-NOV-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545040,North East Region,Sengkang
PARK GREEN,12 Rivervale Link  #01-23 ,1,157,Strata,535092,-,3408,317,21-NOV-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545045,North East Region,Sengkang
PARK GREEN,8 Rivervale Link  #04-13 ,1,125,Strata,487708,-,3902,362,21-NOV-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545043,North East Region,Sengkang
PARK GREEN,8 Rivervale Link  #05-13 ,1,126,Strata,491154,-,3898,362,20-NOV-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545043,North East Region,Sengkang
PARK GREEN,8 Rivervale Link  #08-13 ,1,125,Strata,503215,-,4026,374,20-NOV-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545043,North East Region,Sengkang
PARK GREEN,8 Rivervale Link  #02-15 ,1,108,Strata,417479,-,3866,359,20-NOV-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545043,North East Region,Sengkang
PARK GREEN,8 Rivervale Link  #10-15 ,1,108,Strata,451078,-,4177,388,18-NOV-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545043,North East Region,Sengkang
PARK GREEN,6 Rivervale Link  #07-08 ,1,127,Strata,508384,-,4003,372,18-NOV-2002,Executive Condominium,99 Yrs From 17/08/2001,2004,New Sale,HDB,19,54,545042,North East Region,Sengkang
