Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE TAMPINES TRILLIANT,25 Tampines Central 7  #05-29 ,1,81,Strata,711000,-,8778,815,12-APR-2012,Executive Condominium,99 Yrs From 13/07/2011,Uncompleted,New Sale,Private,18,52,528610,East Region,Tampines
THE RAINFOREST,341 Choa Chu Kang Avenue 3  #07-23 ,1,107,Strata,821000,-,7673,713,12-APR-2012,Executive Condominium,99 Yrs From 28/06/2011,Uncompleted,New Sale,HDB,23,68,689874,West Region,Choa Chu Kang
TWIN WATERFALLS,122 Punggol Walk  #08-48 ,1,104,Strata,808350,-,7773,722,12-APR-2012,Executive Condominium,99 Yrs From 05/10/2011,Uncompleted,New Sale,Private,19,82,828771,North East Region,Punggol
YEW MEI GREEN,52 Choa Chu Kang North 6  #11-21 ,1,131,Strata,968000,-,7389,686,12-APR-2012,Executive Condominium,99 Yrs From 01/12/1997,2000,Resale,HDB,23,68,689575,West Region,Choa Chu Kang
TWIN WATERFALLS,116 Punggol Walk  #13-36 ,1,115,Strata,912460,-,7934,737,12-APR-2012,Executive Condominium,99 Yrs From 05/10/2011,Uncompleted,New Sale,HDB,19,82,828768,North East Region,Punggol
THE TAMPINES TRILLIANT,27 Tampines Central 7  #08-36 ,1,93,Strata,823000,-,8849,822,12-APR-2012,Executive Condominium,99 Yrs From 13/07/2011,Uncompleted,New Sale,HDB,18,52,528611,East Region,Tampines
TWIN WATERFALLS,118 Punggol Walk  #05-37 ,1,115,Strata,903860,-,7860,730,12-APR-2012,Executive Condominium,99 Yrs From 05/10/2011,Uncompleted,New Sale,HDB,19,82,828769,North East Region,Punggol
TWIN WATERFALLS,118 Punggol Walk  #08-38 ,1,93,Strata,682950,-,7344,682,12-APR-2012,Executive Condominium,99 Yrs From 05/10/2011,Uncompleted,New Sale,HDB,19,82,828769,North East Region,Punggol
THE DEW,32 Bukit Batok Street 21  #08-13 ,1,122,Strata,990800,-,8121,754,12-APR-2012,Executive Condominium,99 Yrs From 13/12/2000,2003,Resale,HDB,23,65,659637,West Region,Bukit Batok
THE RAINFOREST,335 Choa Chu Kang Avenue 3  #13-11 ,1,90,Strata,778000,-,8644,803,12-APR-2012,Executive Condominium,99 Yrs From 28/06/2011,Uncompleted,New Sale,HDB,23,68,689871,West Region,Choa Chu Kang
TWIN WATERFALLS,102 Punggol Walk  #16-06 ,1,85,Strata,668100,-,7860,730,12-APR-2012,Executive Condominium,99 Yrs From 05/10/2011,Uncompleted,New Sale,HDB,19,82,828791,North East Region,Punggol
BLOSSOM RESIDENCES,34 Segar Road  #07-36 ,1,98,Strata,733000,-,7480,695,12-APR-2012,Executive Condominium,99 Yrs From 02/03/2011,Uncompleted,New Sale,HDB,23,67,677723,West Region,Bukit Panjang
TWIN WATERFALLS,108 Punggol Walk  #13-18 ,1,128,Strata,1027650,-,8029,746,12-APR-2012,Executive Condominium,99 Yrs From 05/10/2011,Uncompleted,New Sale,Private,19,82,828764,North East Region,Punggol
AUSTVILLE RESIDENCES,19 Sengkang East Avenue  #13-19 ,1,96,Strata,778000,-,8104,753,12-APR-2012,Executive Condominium,99 Yrs From 24/08/2010,Uncompleted,New Sale,Private,19,54,544808,North East Region,Sengkang
