Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
HERON BAY,51 Upper Serangoon View  #05-02 ,1,96,Strata,739600,-,7704,716,28-DEC-2012,Executive Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,HDB,19,53,534020,North East Region,Hougang
HERON BAY,57 Upper Serangoon View  #15-14 ,1,95,Strata,772000,-,8126,755,28-DEC-2012,Executive Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,HDB,19,53,534017,North East Region,Hougang
HERON BAY,63 Upper Serangoon View  #14-21 ,1,119,Strata,979000,-,8227,764,28-DEC-2012,Executive Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,HDB,19,53,534014,North East Region,Hougang
HERON BAY,61 Upper Serangoon View  #12-20 ,1,119,Strata,967200,-,8128,755,28-DEC-2012,Executive Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,HDB,19,53,534015,North East Region,Hougang
HERON BAY,61 Upper Serangoon View  #16-19 ,1,114,Strata,947000,-,8307,772,28-DEC-2012,Executive Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,HDB,19,53,534015,North East Region,Hougang
WATERBAY,47 Edgefield Plains  #12-13 ,1,86,Strata,711600,-,8274,769,28-DEC-2012,Executive Condominium,99 Yrs From 02/07/2012,Uncompleted,New Sale,HDB,19,82,828713,North East Region,Punggol
HERON BAY,61 Upper Serangoon View  #14-19 ,1,114,Strata,967200,-,8484,788,28-DEC-2012,Executive Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,HDB,19,53,534015,North East Region,Hougang
WATERBAY,45B Edgefield Plains  #05-09 ,1,117,Strata,922000,-,7880,732,28-DEC-2012,Executive Condominium,99 Yrs From 02/07/2012,Uncompleted,New Sale,HDB,19,82,828712,North East Region,Punggol
WATERBAY,47B Edgefield Plains  #09-23 ,1,139,Strata,1076600,-,7745,720,28-DEC-2012,Executive Condominium,99 Yrs From 02/07/2012,Uncompleted,New Sale,Private,19,82,828715,North East Region,Punggol
LA CASA,58 Woodlands Drive 16  #10-20 ,1,91,Strata,780000,-,8571,796,28-DEC-2012,Executive Condominium,99 Yrs From 13/09/2004,2008,Resale,HDB,25,73,737897,North Region,Woodlands
