Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE QUINTET,36 Choa Chu Kang Street 64  #15-01 ,1,120,Strata,970000,-,8083,751,05-SEP-2012,Executive Condominium,99 Yrs From 22/01/2003,2006,Resale,HDB,23,68,689101,West Region,Choa Chu Kang
WOODSVALE,9 Woodlands Drive 72  #12-22 ,1,126,Strata,900000,-,7143,664,05-SEP-2012,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738093,North Region,Woodlands
THE TAMPINES TRILLIANT,31 Tampines Central 7  #07-44 ,1,93,Strata,816000,-,8774,815,05-SEP-2012,Executive Condominium,99 Yrs From 13/07/2011,Uncompleted,New Sale,HDB,18,52,528613,East Region,Tampines
THE TAMPINES TRILLIANT,13 Tampines Central 7  #09-07 ,1,81,Strata,737000,-,9099,845,05-SEP-2012,Executive Condominium,99 Yrs From 13/07/2011,Uncompleted,New Sale,HDB,18,52,528770,East Region,Tampines
ESPARINA RESIDENCES,121 Compassvale Bow  #17-24 ,1,77,Strata,710000,-,9221,857,05-SEP-2012,Executive Condominium,99 Yrs From 02/06/2010,Uncompleted,New Sale,HDB,19,54,544818,North East Region,Sengkang
ARC AT TAMPINES,15 Tampines Avenue 8  #06-23 ,1,98,Strata,773400,-,7892,733,05-SEP-2012,Executive Condominium,99 Yrs From 22/02/2011,Uncompleted,New Sale,HDB,18,52,529601,East Region,Tampines
NORTHOAKS,20 Woodlands Crescent  #15-41 ,1,181,Strata,1150000,-,6354,590,05-SEP-2012,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,25,73,738081,North Region,Woodlands
WATERCOLOURS,27 Pasir Ris Link  #10-16 ,1,119,Strata,951200,-,7993,743,05-SEP-2012,Executive Condominium,99 Yrs From 10/01/2012,Uncompleted,New Sale,Private,18,51,518151,East Region,Pasir Ris
NORTHOAKS,26 Woodlands Crescent  #15-29 ,1,218,Strata,1183000,-,5427,504,05-SEP-2012,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,Private,25,73,738084,North Region,Woodlands
TWIN WATERFALLS,100 Punggol Walk  #05-02 ,1,103,Strata,749920,-,7281,676,04-SEP-2012,Executive Condominium,99 Yrs From 05/10/2011,Uncompleted,New Sale,HDB,19,82,828790,North East Region,Punggol
1 CANBERRA,25 Canberra Drive  #03-52 ,1,116,Strata,832900,-,7180,667,04-SEP-2012,Executive Condominium,99 Yrs From 30/01/2012,Uncompleted,New Sale,HDB,27,76,768078,North Region,Yishun
SUMMERDALE,8 Boon Lay Drive  #12-20 ,1,130,Strata,1070000,-,8231,765,04-SEP-2012,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,22,64,649928,West Region,Jurong West
THE TAMPINES TRILLIANT,27 Tampines Central 7  #13-36 ,1,93,Strata,848000,-,9118,847,04-SEP-2012,Executive Condominium,99 Yrs From 13/07/2011,Uncompleted,New Sale,HDB,18,52,528611,East Region,Tampines
NORTHOAKS,26 Woodlands Crescent  #04-27 ,1,120,Strata,825000,-,6875,639,04-SEP-2012,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,25,73,738084,North Region,Woodlands
TWIN WATERFALLS,104 Punggol Walk  #17-12 ,1,121,Strata,854340,-,7064,656,04-SEP-2012,Executive Condominium,99 Yrs From 05/10/2011,Uncompleted,New Sale,HDB,19,82,828792,North East Region,Punggol
TWIN WATERFALLS,104 Punggol Walk  #05-12 ,1,85,Strata,639450,-,7523,699,04-SEP-2012,Executive Condominium,99 Yrs From 05/10/2011,Uncompleted,New Sale,HDB,19,82,828792,North East Region,Punggol
BLOSSOM RESIDENCES,30 Segar Road  #11-02 ,1,70,Strata,566000,-,8086,751,03-SEP-2012,Executive Condominium,99 Yrs From 02/03/2011,Uncompleted,New Sale,Private,23,67,677721,West Region,Bukit Panjang
WATERCOLOURS,25 Pasir Ris Link  #10-12 ,1,106,Strata,879700,-,8299,771,03-SEP-2012,Executive Condominium,99 Yrs From 10/01/2012,Uncompleted,New Sale,Private,18,51,518150,East Region,Pasir Ris
1 CANBERRA,21 Canberra Drive  #12-42 ,1,88,Strata,708700,-,8053,748,03-SEP-2012,Executive Condominium,99 Yrs From 30/01/2012,Uncompleted,New Sale,HDB,27,76,768076,North Region,Yishun
THE TAMPINES TRILLIANT,15 Tampines Central 7  #12-11 ,1,105,Strata,882000,-,8400,780,03-SEP-2012,Executive Condominium,99 Yrs From 13/07/2011,Uncompleted,New Sale,HDB,18,52,528771,East Region,Tampines
