Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
TWIN FOUNTAINS,19A Woodlands Avenue 6  #11-30 ,1,111,Strata,889680,-,8015,745,03-JUN-2013,Executive Condominium,99 Yrs From 19/12/2012,Uncompleted,New Sale,HDB,25,73,739000,North Region,Woodlands
THE TOPIARY,13 Fernvale Lane  #15-09 ,1,85,Strata,656236,-,7720,717,03-JUN-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,Private,28,79,797496,North East Region,Sengkang
HERON BAY,53 Upper Serangoon View  #05-07 ,1,95,Strata,703500,-,7405,688,03-JUN-2013,Executive Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,HDB,19,53,534019,North East Region,Hougang
THE TOPIARY,19 Fernvale Lane  #03-22 ,1,84,Strata,632592,-,7531,700,03-JUN-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,HDB,28,79,797499,North East Region,Sengkang
TWIN FOUNTAINS,15A Woodlands Avenue 6  #14-14 ,1,112,Strata,887920,-,7928,737,03-JUN-2013,Executive Condominium,99 Yrs From 19/12/2012,Uncompleted,New Sale,HDB,25,73,738996,North Region,Woodlands
WATERBAY,47 Edgefield Plains  #07-13 ,1,86,Strata,694000,-,8070,750,03-JUN-2013,Executive Condominium,99 Yrs From 02/07/2012,Uncompleted,New Sale,HDB,19,82,828713,North East Region,Punggol
THE TOPIARY,21 Fernvale Lane  #03-27 ,1,97,Strata,751068,-,7743,719,03-JUN-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,HDB,28,79,797500,North East Region,Sengkang
1 CANBERRA,1 Canberra Drive  #08-03 ,1,88,Strata,687400,-,7811,726,03-JUN-2013,Executive Condominium,99 Yrs From 30/01/2012,Uncompleted,New Sale,HDB,27,76,768101,North Region,Yishun
THE TOPIARY,15 Fernvale Lane  #05-16 ,1,127,Strata,958737,-,7549,701,03-JUN-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,HDB,28,79,797497,North East Region,Sengkang
LA CASA,66 Woodlands Drive 16  #12-35 ,1,111,Strata,968000,-,8721,810,03-JUN-2013,Executive Condominium,99 Yrs From 13/09/2004,2008,Resale,Private,25,73,737893,North Region,Woodlands
LA CASA,50 Woodlands Drive 16  #05-03 ,1,117,Strata,1020000,-,8718,810,03-JUN-2013,Executive Condominium,99 Yrs From 13/09/2004,2008,Resale,HDB,25,73,737901,North Region,Woodlands
THE TOPIARY,25 Fernvale Lane  #05-34 ,1,120,Strata,874576,-,7288,677,03-JUN-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,Private,28,79,797502,North East Region,Sengkang
THE QUINTET,44 Choa Chu Kang Street 64  #15-17 ,1,145,Strata,1350000,-,9310,865,31-MAY-2013,Executive Condominium,99 Yrs From 22/01/2003,2006,Resale,Private,23,68,689105,West Region,Choa Chu Kang
THE TOPIARY,25 Fernvale Lane  #07-34 ,1,120,Strata,877455,-,7312,679,31-MAY-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,HDB,28,79,797502,North East Region,Sengkang
THE QUINTET,46 Choa Chu Kang Street 64  #09-22 ,1,117,Strata,1070000,-,9145,850,31-MAY-2013,Executive Condominium,99 Yrs From 22/01/2003,2006,Resale,HDB,23,68,689106,West Region,Choa Chu Kang
CITYLIFE@TAMPINES,51 Tampines Central 7  #12-01 ,1,116,Strata,1024000,-,8828,820,31-MAY-2013,Executive Condominium,99 Yrs From 13/08/2012,Uncompleted,New Sale,HDB,18,52,528615,East Region,Tampines
THE TOPIARY,13 Fernvale Lane  #18-07 ,1,85,Strata,704260,-,8285,770,31-MAY-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,HDB,28,79,797496,North East Region,Sengkang
HERON BAY,57 Upper Serangoon View  #09-14 ,1,95,Strata,781000,-,8221,764,31-MAY-2013,Executive Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,HDB,19,53,534017,North East Region,Hougang
WATERCOLOURS,29 Pasir Ris Link  #02-23 ,1,80,Strata,582200,-,7278,676,31-MAY-2013,Executive Condominium,99 Yrs From 10/01/2012,Uncompleted,New Sale,HDB,18,51,518152,East Region,Pasir Ris
1 CANBERRA,7 Canberra Drive  #02-16 ,1,99,Strata,730000,-,7374,685,31-MAY-2013,Executive Condominium,99 Yrs From 30/01/2012,Uncompleted,New Sale,HDB,27,76,768069,North Region,Yishun
LA CASA,56 Woodlands Drive 16  #11-15 ,1,91,Strata,830000,-,9121,847,31-MAY-2013,Executive Condominium,99 Yrs From 13/09/2004,2008,Resale,Private,25,73,737898,North Region,Woodlands
THE TOPIARY,13 Fernvale Lane  #21-12 ,1,101,Strata,809600,-,8016,745,31-MAY-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,HDB,28,79,797496,North East Region,Sengkang
LA CASA,64 Woodlands Drive 16  #07-30 ,1,89,Strata,815000,-,9157,851,31-MAY-2013,Executive Condominium,99 Yrs From 13/09/2004,2008,Resale,HDB,25,73,737894,North Region,Woodlands
TWIN FOUNTAINS,15 Woodlands Avenue 6  #03-09 ,1,112,Strata,882640,-,7881,732,31-MAY-2013,Executive Condominium,99 Yrs From 19/12/2012,Uncompleted,New Sale,HDB,25,73,738995,North Region,Woodlands
NORTHOAKS,22 Woodlands Crescent  #07-38 ,1,120,Strata,949000,-,7908,735,31-MAY-2013,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,25,73,738082,North Region,Woodlands
1 CANBERRA,11 Canberra Drive  #03-22 ,1,100,Strata,819700,-,8197,762,31-MAY-2013,Executive Condominium,99 Yrs From 30/01/2012,Uncompleted,New Sale,HDB,27,76,768071,North Region,Yishun
THE TOPIARY,13 Fernvale Lane  #17-12 ,1,101,Strata,793592,-,7857,730,31-MAY-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,Private,28,79,797496,North East Region,Sengkang
LA CASA,66 Woodlands Drive 16  #02-33 ,1,91,Strata,825000,-,9066,842,31-MAY-2013,Executive Condominium,99 Yrs From 13/09/2004,2008,Resale,HDB,25,73,737893,North Region,Woodlands
TWIN WATERFALLS,104 Punggol Walk  #09-09 ,1,85,Strata,660880,-,7775,722,31-MAY-2013,Executive Condominium,99 Yrs From 05/10/2011,Uncompleted,New Sale,HDB,19,82,828792,North East Region,Punggol
THE TOPIARY,13 Fernvale Lane  #01-07 ,1,105,Strata,741336,-,7060,656,30-MAY-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,Private,28,79,797496,North East Region,Sengkang
CITYLIFE@TAMPINES,59 Tampines Central 7  #05-19 ,1,128,Strata,1133900,-,8859,823,30-MAY-2013,Executive Condominium,99 Yrs From 13/08/2012,Uncompleted,New Sale,HDB,18,52,528594,East Region,Tampines
HERON BAY,53 Upper Serangoon View  #17-07 ,1,185,Strata,1188000,-,6422,597,30-MAY-2013,Executive Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,HDB,19,53,534019,North East Region,Hougang
THE TOPIARY,21 Fernvale Lane  #02-27 ,1,123,Strata,860108,-,6993,650,30-MAY-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,HDB,28,79,797500,North East Region,Sengkang
ARC AT TAMPINES,3 Tampines Avenue 8  #11-04 ,1,75,Strata,648800,-,8651,804,30-MAY-2013,Executive Condominium,99 Yrs From 22/02/2011,Uncompleted,New Sale,HDB,18,52,529595,East Region,Tampines
THE TOPIARY,11 Fernvale Lane  #09-04 ,1,70,Strata,586408,-,8377,778,30-MAY-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,HDB,28,79,797495,North East Region,Sengkang
THE TOPIARY,25 Fernvale Lane  #15-34 ,1,120,Strata,926001,-,7717,717,30-MAY-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,Private,28,79,797502,North East Region,Sengkang
WATERCOLOURS,23 Pasir Ris Link  #10-08 ,1,106,Strata,890600,-,8402,781,30-MAY-2013,Executive Condominium,99 Yrs From 10/01/2012,Uncompleted,New Sale,HDB,18,51,518169,East Region,Pasir Ris
THE TOPIARY,11 Fernvale Lane  #04-02 ,1,101,Strata,727168,-,7200,669,30-MAY-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,Private,28,79,797495,North East Region,Sengkang
LA CASA,56 Woodlands Drive 16  #11-14 ,1,111,Strata,900000,-,8108,753,30-MAY-2013,Executive Condominium,99 Yrs From 13/09/2004,2008,Resale,HDB,25,73,737898,North Region,Woodlands
CITYLIFE@TAMPINES,55 Tampines Central 7  #09-09 ,1,105,Strata,930400,-,8861,823,30-MAY-2013,Executive Condominium,99 Yrs From 13/08/2012,Uncompleted,New Sale,HDB,18,52,528617,East Region,Tampines
WATERBAY,45A Edgefield Plains  #04-06 ,1,106,Strata,865406,-,8164,758,30-MAY-2013,Executive Condominium,99 Yrs From 02/07/2012,Uncompleted,New Sale,HDB,19,82,828711,North East Region,Punggol
1 CANBERRA,9 Canberra Drive  #09-17 ,1,95,Strata,788612,-,8301,771,30-MAY-2013,Executive Condominium,99 Yrs From 30/01/2012,Uncompleted,New Sale,HDB,27,76,768070,North Region,Yishun
THE TOPIARY,13 Fernvale Lane  #20-09 ,1,85,Strata,676200,-,7955,739,30-MAY-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,HDB,28,79,797496,North East Region,Sengkang
LA CASA,62 Woodlands Drive 16  #09-26 ,1,106,Strata,900000,-,8491,789,30-MAY-2013,Executive Condominium,99 Yrs From 13/09/2004,2008,Resale,Private,25,73,737895,North Region,Woodlands
TWIN FOUNTAINS,19A Woodlands Avenue 6  #05-29 ,1,112,Strata,899360,-,8030,746,30-MAY-2013,Executive Condominium,99 Yrs From 19/12/2012,Uncompleted,New Sale,HDB,25,73,739000,North Region,Woodlands
WATERCOLOURS,23 Pasir Ris Link  #11-10 ,1,89,Strata,723300,-,8127,755,30-MAY-2013,Executive Condominium,99 Yrs From 10/01/2012,Uncompleted,New Sale,HDB,18,51,518169,East Region,Pasir Ris
BISHAN LOFT,31 Bishan Street 11  #28-02 ,1,127,Strata,1500000,-,11811,1097,30-MAY-2013,Executive Condominium,99 Yrs From 13/12/2000,2003,Resale,HDB,20,57,579819,Central Region,Bishan
THE TOPIARY,17 Fernvale Lane  #18-18 ,1,115,Strata,915216,-,7958,739,30-MAY-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,Private,28,79,797498,North East Region,Sengkang
PARK GREEN,10 Rivervale Link  #06-19 ,1,112,Strata,998000,-,8911,828,29-MAY-2013,Executive Condominium,99 Yrs From 17/08/2001,2004,Resale,HDB,19,54,545044,North East Region,Sengkang
THE TOPIARY,15 Fernvale Lane  #11-16 ,1,127,Strata,995100,-,7835,728,29-MAY-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,HDB,28,79,797497,North East Region,Sengkang
LA CASA,50 Woodlands Drive 16  #07-01 ,1,106,Strata,925000,-,8726,811,29-MAY-2013,Executive Condominium,99 Yrs From 13/09/2004,2008,Resale,Private,25,73,737901,North Region,Woodlands
THE DEW,32 Bukit Batok Street 21  #13-11 ,1,112,Strata,1110000,-,9911,921,29-MAY-2013,Executive Condominium,99 Yrs From 13/12/2000,2003,Resale,HDB,23,65,659637,West Region,Bukit Batok
THE QUINTET,38 Choa Chu Kang Street 64  #08-06 ,1,117,Strata,1040000,-,8889,826,29-MAY-2013,Executive Condominium,99 Yrs From 22/01/2003,2006,Resale,Private,23,68,689102,West Region,Choa Chu Kang
1 CANBERRA,13 Canberra Drive  #06-28 ,1,97,Strata,765000,-,7887,733,29-MAY-2013,Executive Condominium,99 Yrs From 30/01/2012,Uncompleted,New Sale,HDB,27,76,768072,North Region,Yishun
CITYLIFE@TAMPINES,65 Tampines Central 7  #13-28 ,1,105,Strata,960200,-,9145,850,29-MAY-2013,Executive Condominium,99 Yrs From 13/08/2012,Uncompleted,New Sale,Private,18,52,528597,East Region,Tampines
THE TOPIARY,13 Fernvale Lane  #14-09 ,1,85,Strata,652188,-,7673,713,29-MAY-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,HDB,28,79,797496,North East Region,Sengkang
