Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
HERON BAY,55 Upper Serangoon View  #07-09 ,1,114,Strata,905000,-,7939,738,18-MAR-2013,Executive Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,HDB,19,53,534018,North East Region,Hougang
THE TAMPINES TRILLIANT,25 Tampines Central 7  #05-30 ,1,81,Strata,711000,-,8778,815,18-MAR-2013,Executive Condominium,99 Yrs From 13/07/2011,Uncompleted,New Sale,HDB,18,52,528610,East Region,Tampines
THE TOPIARY,25 Fernvale Lane  #09-35 ,1,120,Strata,906471,-,7554,702,18-MAR-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,HDB,28,79,797502,North East Region,Sengkang
HERON BAY,55 Upper Serangoon View  #16-10 ,1,211,Strata,1521000,-,7209,670,18-MAR-2013,Executive Condominium,99 Yrs From 04/06/2012,Uncompleted,New Sale,Private,19,53,534018,North East Region,Hougang
1 CANBERRA,7 Canberra Drive  #13-16 ,1,210,Strata,1323350,-,6302,585,15-MAR-2013,Executive Condominium,99 Yrs From 30/01/2012,Uncompleted,New Sale,HDB,27,76,768069,North Region,Yishun
THE TOPIARY,23 Fernvale Lane  #04-32 ,1,115,Strata,824166,-,7167,666,15-MAR-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,Private,28,79,797501,North East Region,Sengkang
THE TOPIARY,17 Fernvale Lane  #07-20 ,1,98,Strata,781816,-,7978,741,15-MAR-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,Private,28,79,797498,North East Region,Sengkang
THE TOPIARY,19 Fernvale Lane  #18-24 ,1,97,Strata,802976,-,8278,769,15-MAR-2013,Executive Condominium,99 Yrs From 03/07/2012,Uncompleted,New Sale,HDB,28,79,797499,North East Region,Sengkang
CITYLIFE@TAMPINES,57 Tampines Central 7  #09-12 ,1,105,Strata,903300,-,8603,799,15-MAR-2013,Executive Condominium,99 Yrs From 13/08/2012,Uncompleted,New Sale,HDB,18,52,528593,East Region,Tampines
CITYLIFE@TAMPINES,61 Tampines Central 7  #03-22 ,1,128,Strata,1041400,-,8136,756,15-MAR-2013,Executive Condominium,99 Yrs From 13/08/2012,Uncompleted,New Sale,HDB,18,52,528595,East Region,Tampines
