Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
ESPARINA RESIDENCES,121 Compassvale Bow  #09-24 ,1,77,Strata,942000,-,12234,1137,21-OCT-2019,Executive Condominium,99 Yrs From 02/06/2010,2013,Resale,N.A,19,54,544818,North East Region,Sengkang
PIERMONT GRAND,42 Sumang Walk  #15-44 ,1,90,Strata,1036000,-,11511,1069,19-OCT-2019,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,N.A,19,82,828626,North East Region,Punggol
NORTHOAKS,32 Woodlands Crescent  #10-05 ,1,116,Strata,790000,-,6810,633,18-OCT-2019,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,N.A,25,73,738087,North Region,Woodlands
PIERMONT GRAND,24 Sumang Walk  #17-05 ,1,146,Strata,1503200,-,10296,957,18-OCT-2019,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,N.A,19,82,828678,North East Region,Punggol
ESPARINA RESIDENCES,115 Compassvale Bow  #14-12 ,1,99,Strata,1238000,-,12505,1162,18-OCT-2019,Executive Condominium,99 Yrs From 02/06/2010,2013,Resale,N.A,19,54,544815,North East Region,Sengkang
WOODSVALE,9 Woodlands Drive 72  #07-19 ,1,120,Strata,750000,-,6250,581,18-OCT-2019,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,N.A,25,73,738093,North Region,Woodlands
PIERMONT GRAND,44 Sumang Walk  #14-48 ,1,84,Strata,1023200,-,12181,1132,17-OCT-2019,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,N.A,19,82,828627,North East Region,Punggol
THE RIVERVALE,1 Rivervale Link  #10-15 ,1,122,Strata,945000,-,7746,720,17-OCT-2019,Executive Condominium,99 Yrs From 18/12/1997,2000,Resale,N.A,19,54,545118,North East Region,Sengkang
THE FLORAVALE,242 Westwood Avenue  #10-52 ,1,115,Strata,835000,-,7261,675,16-OCT-2019,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,N.A,22,64,648365,West Region,Jurong West
PIERMONT GRAND,38 Sumang Walk  #17-36 ,1,92,Strata,1045700,-,11366,1056,16-OCT-2019,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,N.A,19,82,828624,North East Region,Punggol
AUSTVILLE RESIDENCES,13 Sengkang East Avenue  #13-07 ,1,95,Strata,865000,-,9105,846,15-OCT-2019,Executive Condominium,99 Yrs From 24/08/2010,2014,Resale,N.A,19,54,544805,North East Region,Sengkang
PIERMONT GRAND,36 Sumang Walk  #02-31 ,1,105,Strata,1238400,-,11794,1096,15-OCT-2019,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,N.A,19,82,828623,North East Region,Punggol
NORTHWAVE,103 Woodlands View  #03-05 ,1,83,Strata,832000,-,10024,931,15-OCT-2019,Executive Condominium,99 Yrs From 25/05/2015,2019,New Sale,N.A,25,73,737709,North Region,Woodlands
ARC AT TAMPINES,7 Tampines Avenue 8  #10-11 ,1,132,Strata,1200000,-,9091,845,15-OCT-2019,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,N.A,18,52,529597,East Region,Tampines
ARC AT TAMPINES,7 Tampines Avenue 8  #07-11 ,1,132,Strata,1210000,-,9167,852,15-OCT-2019,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,N.A,18,52,529597,East Region,Tampines
BELYSA,57 Pasir Ris Drive 1  #13-08 ,1,124,Strata,1150000,-,9274,862,14-OCT-2019,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,N.A,18,51,519531,East Region,Pasir Ris
RIVERPARC RESIDENCE,92 Punggol Drive  #17-08 ,1,100,Strata,988000,-,9880,918,14-OCT-2019,Executive Condominium,99 Yrs From 27/12/2010,2014,Resale,N.A,19,82,828795,North East Region,Punggol
PIERMONT GRAND,22 Sumang Walk  #01-03 ,1,143,Strata,1645600,-,11508,1069,12-OCT-2019,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,N.A,19,82,828677,North East Region,Punggol
PIERMONT GRAND,42 Sumang Walk  #06-46 ,1,97,Strata,1089400,-,11231,1043,11-OCT-2019,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,N.A,19,82,828626,North East Region,Punggol
PIERMONT GRAND,42 Sumang Walk  #15-45 ,1,90,Strata,1036000,-,11511,1069,11-OCT-2019,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,N.A,19,82,828626,North East Region,Punggol
WINDERMERE,26 Choa Chu Kang Street 64  #10-01 ,1,135,Strata,890000,-,6593,612,11-OCT-2019,Executive Condominium,99 Yrs From 03/03/1997,1999,Resale,N.A,23,68,689096,West Region,Choa Chu Kang
PIERMONT GRAND,22 Sumang Walk  #01-02 ,1,143,Strata,1695000,-,11853,1101,11-OCT-2019,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,N.A,19,82,828677,North East Region,Punggol
NORTHOAKS,32 Woodlands Crescent  #12-04 ,1,116,Strata,790000,-,6810,633,10-OCT-2019,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,N.A,25,73,738087,North Region,Woodlands
PIERMONT GRAND,42 Sumang Walk  #07-46 ,1,97,Strata,1091800,-,11256,1046,10-OCT-2019,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,N.A,19,82,828626,North East Region,Punggol
PIERMONT GRAND,40 Sumang Walk  #09-38 ,1,105,Strata,1204000,-,11467,1065,10-OCT-2019,Executive Condominium,99 Yrs From 04/06/2018,Uncompleted,New Sale,N.A,19,82,828625,North East Region,Punggol
BLOSSOM RESIDENCES,30 Segar Road  #12-10 ,1,90,Strata,850000,-,9444,877,09-OCT-2019,Executive Condominium,99 Yrs From 02/03/2011,2014,Resale,N.A,23,67,677721,West Region,Bukit Panjang
RIVERPARC RESIDENCE,92 Punggol Drive  #04-05 ,1,138,Strata,1335000,-,9674,899,09-OCT-2019,Executive Condominium,99 Yrs From 27/12/2010,2014,Resale,N.A,19,82,828795,North East Region,Punggol
