Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
YEW MEI GREEN,52 Choa Chu Kang North 6  #12-16 ,1,131,Strata,462000,-,3527,328,29-NOV-2006,Executive Condominium,99 Yrs From 01/12/1997,2000,Resale,HDB,23,68,689575,West Region,Choa Chu Kang
THE FLORAVALE,234 Westwood Avenue  #02-34 ,1,130,Strata,385000,-,2962,275,28-NOV-2006,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,Private,22,64,648361,West Region,Jurong West
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #01-03 ,1,130,Strata,412500,-,3173,295,27-NOV-2006,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529861,East Region,Tampines
WOODSVALE,15 Woodlands Drive 72  #03-43 ,1,119,Strata,368000,-,3092,287,27-NOV-2006,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738096,North Region,Woodlands
SUMMERDALE,2 Boon Lay Drive  #07-01 ,1,113,Strata,366000,-,3239,301,27-NOV-2006,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,22,64,649925,West Region,Jurong West
WOODSVALE,19 Woodlands Drive 72  #06-50 ,1,122,Strata,400000,-,3279,305,27-NOV-2006,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738098,North Region,Woodlands
YEW MEI GREEN,52 Choa Chu Kang North 6  #17-17 ,1,120,Strata,470000,-,3917,364,26-NOV-2006,Executive Condominium,99 Yrs From 01/12/1997,2000,Resale,Private,23,68,689575,West Region,Choa Chu Kang
SIMEI GREEN CONDOMINIUM,15 Simei Street 4  #03-04 ,1,116,Strata,435000,-,3750,348,26-NOV-2006,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529868,East Region,Tampines
PINEVALE,8 Tampines Street 73  #09-03 ,1,119,Strata,460000,-,3866,359,25-NOV-2006,Executive Condominium,99 Yrs From 31/01/1997,1999,Resale,Private,18,52,528826,East Region,Tampines
THE QUINTET,44 Choa Chu Kang Street 64  #19-19 ,1,117,Strata,529200,-,4523,420,24-NOV-2006,Executive Condominium,99 Yrs From 22/01/2003,2006,New Sale,HDB,23,68,689105,West Region,Choa Chu Kang
THE QUINTET,42 Choa Chu Kang Street 64  #13-13 ,1,145,Strata,605052,-,4173,388,24-NOV-2006,Executive Condominium,99 Yrs From 22/01/2003,2006,New Sale,HDB,23,68,689104,West Region,Choa Chu Kang
THE FLORIDA,72 Hougang Avenue 7  #01-14 ,1,134,Strata,450000,-,3358,312,24-NOV-2006,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,19,53,538805,North East Region,Hougang
WOODSVALE,11 Woodlands Drive 72  #02-29 ,1,114,Strata,360000,-,3158,293,24-NOV-2006,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738094,North Region,Woodlands
WOODSVALE,5 Woodlands Drive 72  #12-09 ,1,120,Strata,405000,-,3375,314,23-NOV-2006,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738091,North Region,Woodlands
YEW MEI GREEN,56 Choa Chu Kang North 6  #06-34 ,1,124,Strata,440000,-,3548,330,23-NOV-2006,Executive Condominium,99 Yrs From 01/12/1997,2000,Resale,HDB,23,68,689577,West Region,Choa Chu Kang
WOODSVALE,11 Woodlands Drive 72  #04-33 ,1,120,Strata,394500,-,3288,305,22-NOV-2006,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738094,North Region,Woodlands
SIMEI GREEN CONDOMINIUM,11 Simei Street 4  #06-02 ,1,111,Strata,435000,-,3919,364,22-NOV-2006,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529866,East Region,Tampines
THE QUINTET,44 Choa Chu Kang Street 64  #15-17 ,1,145,Strata,619164,-,4270,397,21-NOV-2006,Executive Condominium,99 Yrs From 22/01/2003,2006,New Sale,Private,23,68,689105,West Region,Choa Chu Kang
