Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE CRITERION,5 Yishun Street 51  #09-11 ,1,85,Strata,736800,-,8668,805,14-NOV-2017,Executive Condominium,99 Yrs From 25/08/2014,Uncompleted,New Sale,N.A,27,76,767998,North Region,Yishun
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #06-05 ,1,116,Strata,902000,-,7776,722,14-NOV-2017,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529861,East Region,Tampines
PARC LIFE,35 Sembawang Crescent  #14-28 ,1,103,Strata,912780,-,8862,823,14-NOV-2017,Executive Condominium,99 Yrs From 13/10/2014,2018,New Sale,HDB,27,75,756985,North Region,Sembawang
THE FLORAVALE,222 Westwood Avenue  #05-12 ,1,123,Strata,822000,-,6683,621,14-NOV-2017,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648355,West Region,Jurong West
SIGNATURE AT YISHUN,21 Yishun Street 51  #11-01 ,1,102,Strata,821500,-,8054,748,13-NOV-2017,Executive Condominium,99 Yrs From 25/08/2014,2017,New Sale,HDB,27,76,768085,North Region,Yishun
SIGNATURE AT YISHUN,27 Yishun Street 51  #02-15 ,1,102,Strata,816500,-,8005,744,13-NOV-2017,Executive Condominium,99 Yrs From 25/08/2014,2017,New Sale,HDB,27,76,768088,North Region,Yishun
SIGNATURE AT YISHUN,27 Yishun Street 51  #11-16 ,1,110,Strata,994000,-,9036,839,13-NOV-2017,Executive Condominium,99 Yrs From 25/08/2014,2017,New Sale,Private,27,76,768088,North Region,Yishun
SIGNATURE AT YISHUN,23 Yishun Street 51  #01-06 ,1,88,Strata,717000,-,8148,757,13-NOV-2017,Executive Condominium,99 Yrs From 25/08/2014,2017,New Sale,HDB,27,76,768086,North Region,Yishun
PARC LIFE,21 Sembawang Crescent  #04-03 ,1,118,Strata,1027620,-,8709,809,13-NOV-2017,Executive Condominium,99 Yrs From 13/10/2014,2018,New Sale,HDB,27,75,757053,North Region,Sembawang
THE QUINTET,42 Choa Chu Kang Street 64  #12-16 ,1,145,Strata,1165000,-,8034,746,13-NOV-2017,Executive Condominium,99 Yrs From 22/01/2003,2006,Resale,HDB,23,68,689104,West Region,Choa Chu Kang
