Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE VISIONAIRE,184 Canberra Drive  #05-30 ,1,91,Strata,780000,-,8571,796,24-AUG-2016,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,N.A,27,76,767954,North Region,Sembawang
SOL ACRES,14 Choa Chu Kang Grove  #12-34 ,1,57,Strata,482000,-,8456,786,24-AUG-2016,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,N.A,23,68,688209,West Region,Choa Chu Kang
SIGNATURE AT YISHUN,37 Yishun Street 51  #10-35 ,1,110,Strata,898103,-,8165,759,23-AUG-2016,Executive Condominium,99 Yrs From 25/08/2014,Uncompleted,New Sale,HDB,27,76,767993,North Region,Yishun
THE FLORIDA,76 Hougang Avenue 7  #16-21 ,1,182,Strata,1250000,-,6868,638,23-AUG-2016,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,Private,19,53,538807,North East Region,Hougang
THE TERRACE,98 Edgedale Plains  #17-35 ,1,100,Strata,851500,841500,8415,782,23-AUG-2016,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,N.A,19,82,828689,North East Region,Punggol
TREASURE CREST,56 Anchorvale Crescent  #02-19 ,1,100,Strata,804000,-,8040,747,23-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,HDB,19,54,544632,North East Region,Sengkang
BELLEWATERS,17 Anchorvale Crescent  #16-15 ,1,131,Strata,980100,-,7482,695,23-AUG-2016,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544652,North East Region,Sengkang
TREASURE CREST,56 Anchorvale Crescent  #12-18 ,1,100,Strata,826000,-,8260,767,23-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,N.A,19,54,544632,North East Region,Sengkang
NORTHWAVE,111 Woodlands View  #10-23 ,1,63,Strata,525100,-,8335,774,23-AUG-2016,Executive Condominium,99 Yrs From 25/05/2015,Uncompleted,New Sale,HDB,25,73,737703,North Region,Woodlands
SOL ACRES,26 Choa Chu Kang Grove  #06-61 ,1,86,Strata,721000,-,8384,779,22-AUG-2016,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688215,West Region,Choa Chu Kang
TREASURE CREST,56 Anchorvale Crescent  #11-18 ,1,100,Strata,822000,-,8220,764,22-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,HDB,19,54,544632,North East Region,Sengkang
SEA HORIZON,19 Pasir Ris Rise  #03-40 ,1,149,Strata,1281000,-,8597,799,22-AUG-2016,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,HDB,18,51,518089,East Region,Pasir Ris
TREASURE CREST,58 Anchorvale Crescent  #13-22 ,1,100,Strata,811000,-,8110,753,22-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,HDB,19,54,544633,North East Region,Sengkang
THE BROWNSTONE,160 Canberra Drive  #08-42 ,1,82,Strata,803200,-,9795,910,22-AUG-2016,Executive Condominium,99 Yrs From 28/04/2014,Uncompleted,New Sale,HDB,27,76,767999,North Region,Sembawang
TREASURE CREST,62 Anchorvale Crescent  #02-29 ,1,107,Strata,867000,-,8103,753,22-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,HDB,19,54,544615,North East Region,Sengkang
BELLEWOODS,108 Woodlands Avenue 5  #04-20 ,1,107,Strata,904040,-,8449,785,22-AUG-2016,Executive Condominium,99 Yrs From 12/08/2013,Uncompleted,New Sale,N.A,25,73,739014,North Region,Woodlands
WINDERMERE,32 Choa Chu Kang Street 64  #10-04 ,1,135,Strata,960000,-,7111,661,22-AUG-2016,Executive Condominium,99 Yrs From 03/03/1997,1999,Resale,Private,23,68,689099,West Region,Choa Chu Kang
SOL ACRES,10 Choa Chu Kang Grove  #02-26 ,1,108,Strata,902000,-,8352,776,22-AUG-2016,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,N.A,23,68,688207,West Region,Choa Chu Kang
TREASURE CREST,58 Anchorvale Crescent  #05-22 ,1,100,Strata,781000,-,7810,726,21-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,N.A,19,54,544633,North East Region,Sengkang
THE VISIONAIRE,182 Canberra Drive  #05-28 ,1,89,Strata,772500,-,8680,806,21-AUG-2016,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,HDB,27,76,767953,North Region,Sembawang
BELLEWOODS,116 Woodlands Avenue 5  #05-35 ,1,125,Strata,1032570,-,8261,767,21-AUG-2016,Executive Condominium,99 Yrs From 12/08/2013,Uncompleted,New Sale,HDB,25,73,739018,North Region,Woodlands
ECOPOLITAN,138 Punggol Walk  #02-31 ,1,113,Strata,972800,-,8609,800,21-AUG-2016,Executive Condominium,99 Yrs From 04/12/2012,2016,New Sale,Private,19,82,828700,North East Region,Punggol
BELLEWOODS,110 Woodlands Avenue 5  #09-24 ,1,114,Strata,977060,-,8571,796,21-AUG-2016,Executive Condominium,99 Yrs From 12/08/2013,2017,New Sale,Private,25,73,739015,North Region,Woodlands
TREASURE CREST,56 Anchorvale Crescent  #09-18 ,1,100,Strata,814000,-,8140,756,21-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,HDB,19,54,544632,North East Region,Sengkang
BELLEWOODS,116 Woodlands Avenue 5  #04-35 ,1,125,Strata,1027620,-,8221,764,21-AUG-2016,Executive Condominium,99 Yrs From 12/08/2013,Uncompleted,New Sale,HDB,25,73,739018,North Region,Woodlands
SOL ACRES,10 Choa Chu Kang Grove  #22-25 ,1,108,Strata,982000,-,9093,845,21-AUG-2016,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688207,West Region,Choa Chu Kang
THE VALES,75 Anchorvale Crescent  #04-10 ,1,84,Strata,725200,-,8633,802,21-AUG-2016,Executive Condominium,99 Yrs From 19/05/2014,Uncompleted,New Sale,HDB,19,54,544662,North East Region,Sengkang
SKYPARK RESIDENCES,11 Sembawang Crescent  #04-22 ,1,148,Strata,1228000,-,8297,771,21-AUG-2016,Executive Condominium,99 Yrs From 18/03/2013,2016,New Sale,HDB,27,75,757058,North Region,Sembawang
TREASURE CREST,56 Anchorvale Crescent  #15-18 ,1,100,Strata,839000,-,8390,779,21-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,N.A,19,54,544632,North East Region,Sengkang
THE VALES,83 Anchorvale Crescent  #13-27 ,1,84,Strata,746850,-,8891,826,21-AUG-2016,Executive Condominium,99 Yrs From 19/05/2014,Uncompleted,New Sale,HDB,19,54,544626,North East Region,Sengkang
WANDERVALE,363 Choa Chu Kang Avenue 3  #04-28 ,1,89,Strata,671000,-,7539,700,21-AUG-2016,Executive Condominium,99 Yrs From 08/12/2014,Uncompleted,New Sale,HDB,23,68,689885,West Region,Choa Chu Kang
SOL ACRES,8 Choa Chu Kang Grove  #01-21 ,1,94,Strata,738000,-,7851,729,21-AUG-2016,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688206,West Region,Choa Chu Kang
SOL ACRES,4 Choa Chu Kang Grove  #25-06 ,1,53,Strata,475000,-,8962,833,21-AUG-2016,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,N.A,23,68,688239,West Region,Choa Chu Kang
THE VALES,73 Anchorvale Crescent  #02-06 ,1,96,Strata,792015,-,8250,766,21-AUG-2016,Executive Condominium,99 Yrs From 19/05/2014,Uncompleted,New Sale,HDB,19,54,544661,North East Region,Sengkang
THE VISIONAIRE,190 Canberra Drive  #08-41 ,1,91,Strata,803000,-,8824,820,20-AUG-2016,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,N.A,27,76,767957,North Region,Sembawang
BELLEWOODS,118 Woodlands Avenue 5  #07-37 ,1,114,Strata,954360,-,8372,778,20-AUG-2016,Executive Condominium,99 Yrs From 12/08/2013,2017,New Sale,HDB,25,73,739019,North Region,Woodlands
BELLEWOODS,116 Woodlands Avenue 5  #06-34 ,1,142,Strata,1156320,-,8143,757,20-AUG-2016,Executive Condominium,99 Yrs From 12/08/2013,Uncompleted,New Sale,HDB,25,73,739018,North Region,Woodlands
THE BROWNSTONE,150 Canberra Drive  #06-04 ,1,82,Strata,717600,-,8751,813,20-AUG-2016,Executive Condominium,99 Yrs From 28/04/2014,Uncompleted,New Sale,HDB,27,76,768079,North Region,Sembawang
TREASURE CREST,58 Anchorvale Crescent  #06-22 ,1,100,Strata,784000,-,7840,728,20-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,N.A,19,54,544633,North East Region,Sengkang
BELLEWOODS,102 Woodlands Avenue 5  #04-07 ,1,99,Strata,820000,-,8283,769,20-AUG-2016,Executive Condominium,99 Yrs From 12/08/2013,2017,New Sale,HDB,25,73,739011,North Region,Woodlands
SIGNATURE AT YISHUN,35 Yishun Street 51  #08-31 ,1,102,Strata,807331,-,7915,735,20-AUG-2016,Executive Condominium,99 Yrs From 25/08/2014,Uncompleted,New Sale,N.A,27,76,767992,North Region,Yishun
PARC LIFE,23 Sembawang Crescent  #13-07 ,1,144,Strata,1273020,1270720,8824,820,20-AUG-2016,Executive Condominium,99 Yrs From 13/10/2014,Uncompleted,New Sale,HDB,27,75,757054,North Region,Sembawang
TREASURE CREST,60 Anchorvale Crescent  #02-28 ,1,89,Strata,716000,-,8045,747,20-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,HDB,19,54,544614,North East Region,Sengkang
THE BROWNSTONE,152 Canberra Drive  #05-13 ,1,85,Strata,740800,-,8715,810,20-AUG-2016,Executive Condominium,99 Yrs From 28/04/2014,Uncompleted,New Sale,HDB,27,76,768080,North Region,Sembawang
THE VALES,87 Anchorvale Crescent  #13-35 ,1,84,Strata,730275,-,8694,808,20-AUG-2016,Executive Condominium,99 Yrs From 19/05/2014,Uncompleted,New Sale,Private,19,54,544628,North East Region,Sengkang
TREASURE CREST,66 Anchorvale Crescent  #03-34 ,1,100,Strata,807000,-,8070,750,20-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,N.A,19,54,544617,North East Region,Sengkang
THE VALES,73 Anchorvale Crescent  #08-05 ,1,85,Strata,742840,-,8739,812,20-AUG-2016,Executive Condominium,99 Yrs From 19/05/2014,Uncompleted,New Sale,HDB,19,54,544661,North East Region,Sengkang
WESTWOOD RESIDENCES,190 Westwood Avenue  #06-22 ,1,115,Strata,1008000,-,8765,814,20-AUG-2016,Executive Condominium,99 Yrs From 14/04/2014,Uncompleted,New Sale,N.A,22,64,648150,West Region,Jurong West
NORTHWAVE,101 Woodlands View  #05-01 ,1,118,Strata,945800,-,8015,745,20-AUG-2016,Executive Condominium,99 Yrs From 25/05/2015,Uncompleted,New Sale,N.A,25,73,737708,North Region,Woodlands
WESTWOOD RESIDENCES,188 Westwood Avenue  #11-20 ,1,96,Strata,760678,-,7924,736,20-AUG-2016,Executive Condominium,99 Yrs From 14/04/2014,Uncompleted,New Sale,HDB,22,64,648149,West Region,Jurong West
TREASURE CREST,60 Anchorvale Crescent  #02-26 ,1,100,Strata,835000,-,8350,776,19-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,HDB,19,54,544614,North East Region,Sengkang
THE RIVERVALE,1 Rivervale Link  #14-13 ,1,121,Strata,890000,-,7355,683,19-AUG-2016,Executive Condominium,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang
THE FLORAVALE,238 Westwood Avenue  #03-42 ,1,123,Strata,810000,-,6585,612,19-AUG-2016,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648363,West Region,Jurong West
SOL ACRES,4 Choa Chu Kang Grove  #04-09 ,1,102,Strata,839000,-,8225,764,19-AUG-2016,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688239,West Region,Choa Chu Kang
THE RIVERVALE,7 Rivervale Link  #10-38 ,1,117,Strata,853800,-,7297,678,19-AUG-2016,Executive Condominium,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545125,North East Region,Sengkang
THE TERRACE,98 Edgedale Plains  #01-40 ,1,100,Strata,804200,794200,7942,738,19-AUG-2016,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,19,82,828689,North East Region,Punggol
BELLEWOODS,118 Woodlands Avenue 5  #10-40 ,1,110,Strata,930600,-,8460,786,18-AUG-2016,Executive Condominium,99 Yrs From 12/08/2013,Uncompleted,New Sale,N.A,25,73,739019,North Region,Woodlands
ECOPOLITAN,138 Punggol Walk  #13-32 ,1,101,Strata,858000,-,8495,789,18-AUG-2016,Executive Condominium,99 Yrs From 04/12/2012,2016,New Sale,HDB,19,82,828700,North East Region,Punggol
THE TERRACE,88 Edgedale Plains  #08-20 ,1,100,Strata,869700,859700,8597,799,18-AUG-2016,Executive Condominium,99 Yrs From 30/10/2013,2017,New Sale,HDB,19,82,828684,North East Region,Punggol
THE VISIONAIRE,176 Canberra Drive  #07-16 ,1,91,Strata,790000,-,8681,807,18-AUG-2016,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,HDB,27,76,767950,North Region,Sembawang
THE FLORAVALE,220 Westwood Avenue  #09-07 ,1,123,Strata,830000,-,6748,627,18-AUG-2016,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,Private,22,64,648352,West Region,Jurong West
BELLEWOODS,122 Woodlands Avenue 5  #07-46 ,1,142,Strata,1145000,-,8063,749,18-AUG-2016,Executive Condominium,99 Yrs From 12/08/2013,2017,New Sale,HDB,25,73,739021,North Region,Woodlands
THE VALES,81 Anchorvale Crescent  #11-24 ,1,84,Strata,724425,-,8624,801,18-AUG-2016,Executive Condominium,99 Yrs From 19/05/2014,Uncompleted,New Sale,HDB,19,54,544625,North East Region,Sengkang
SIGNATURE AT YISHUN,41 Yishun Street 51  #11-41 ,1,88,Strata,770275,-,8753,813,17-AUG-2016,Executive Condominium,99 Yrs From 25/08/2014,Uncompleted,New Sale,N.A,27,76,767995,North Region,Yishun
THE FLORAVALE,238 Westwood Avenue  #04-41 ,1,122,Strata,810000,-,6639,617,17-AUG-2016,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648363,West Region,Jurong West
SOL ACRES,18 Choa Chu Kang Grove  #09-45 ,1,66,Strata,568000,-,8606,800,17-AUG-2016,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688211,West Region,Choa Chu Kang
TREASURE CREST,62 Anchorvale Crescent  #04-31 ,1,100,Strata,777000,-,7770,722,17-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,HDB,19,54,544615,North East Region,Sengkang
BELLEWOODS,120 Woodlands Avenue 5  #02-42 ,1,99,Strata,806540,-,8147,757,17-AUG-2016,Executive Condominium,99 Yrs From 12/08/2013,Uncompleted,New Sale,HDB,25,73,739020,North Region,Woodlands
THE TERRACE,90 Edgedale Plains  #12-24 ,1,100,Strata,836500,826500,8265,768,17-AUG-2016,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,N.A,19,82,828685,North East Region,Punggol
THE BROWNSTONE,160 Canberra Drive  #03-44 ,1,88,Strata,785600,-,8927,829,16-AUG-2016,Executive Condominium,99 Yrs From 28/04/2014,Uncompleted,New Sale,HDB,27,76,767999,North Region,Sembawang
TREASURE CREST,54 Anchorvale Crescent  #03-13 ,1,107,Strata,862000,-,8056,748,16-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,HDB,19,54,544631,North East Region,Sengkang
TREASURE CREST,52 Anchorvale Crescent  #03-12 ,1,107,Strata,792000,-,7402,688,16-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,N.A,19,54,544630,North East Region,Sengkang
BELLEWOODS,102 Woodlands Avenue 5  #03-07 ,1,99,Strata,817740,-,8260,767,16-AUG-2016,Executive Condominium,99 Yrs From 12/08/2013,Uncompleted,New Sale,HDB,25,73,739011,North Region,Woodlands
TREASURE CREST,52 Anchorvale Crescent  #03-05 ,1,107,Strata,788000,-,7364,684,16-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,HDB,19,54,544630,North East Region,Sengkang
TREASURE CREST,54 Anchorvale Crescent  #04-13 ,1,107,Strata,840000,-,7850,729,16-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,HDB,19,54,544631,North East Region,Sengkang
WANDERVALE,359 Choa Chu Kang Avenue 3  #15-19 ,1,89,Strata,765000,-,8596,799,16-AUG-2016,Executive Condominium,99 Yrs From 08/12/2014,Uncompleted,New Sale,Private,23,68,689883,West Region,Choa Chu Kang
TREASURE CREST,66 Anchorvale Crescent  #07-33 ,1,107,Strata,852000,-,7963,740,16-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,HDB,19,54,544617,North East Region,Sengkang
THE TERRACE,88 Edgedale Plains  #03-17 ,1,100,Strata,844700,834700,8347,775,16-AUG-2016,Executive Condominium,99 Yrs From 30/10/2013,2017,New Sale,Private,19,82,828684,North East Region,Punggol
BELLEWATERS,15 Anchorvale Crescent  #10-09 ,1,113,Strata,992740,-,8785,816,16-AUG-2016,Executive Condominium,99 Yrs From 28/08/2013,2017,New Sale,Private,19,54,544651,North East Region,Sengkang
TREASURE CREST,54 Anchorvale Crescent  #02-13 ,1,107,Strata,834000,-,7794,724,16-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,Private,19,54,544631,North East Region,Sengkang
TREASURE CREST,66 Anchorvale Crescent  #06-33 ,1,107,Strata,849000,-,7935,737,16-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,N.A,19,54,544617,North East Region,Sengkang
TREASURE CREST,50 Anchorvale Crescent  #09-02 ,1,100,Strata,838000,-,8380,779,16-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,HDB,19,54,544629,North East Region,Sengkang
TREASURE CREST,66 Anchorvale Crescent  #13-35 ,1,100,Strata,811000,-,8110,753,16-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,HDB,19,54,544617,North East Region,Sengkang
TREASURE CREST,60 Anchorvale Crescent  #04-28 ,1,89,Strata,702000,-,7888,733,16-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,N.A,19,54,544614,North East Region,Sengkang
BELLEWOODS,100 Woodlands Avenue 5  #03-02 ,1,116,Strata,960175,-,8277,769,15-AUG-2016,Executive Condominium,99 Yrs From 12/08/2013,2017,New Sale,HDB,25,73,739010,North Region,Woodlands
THE TERRACE,96 Edgedale Plains  #14-35 ,1,100,Strata,842500,-,8425,783,15-AUG-2016,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,Private,19,82,828688,North East Region,Punggol
NORTHWAVE,101 Woodlands View  #01-04 ,1,70,Strata,533650,-,7624,708,15-AUG-2016,Executive Condominium,99 Yrs From 25/05/2015,Uncompleted,New Sale,N.A,25,73,737708,North Region,Woodlands
TREASURE CREST,58 Anchorvale Crescent  #02-21 ,1,89,Strata,677000,-,7607,707,15-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,N.A,19,54,544633,North East Region,Sengkang
PINEVALE,12 Tampines Street 73  #13-01 ,1,119,Strata,900000,-,7563,703,15-AUG-2016,Executive Condominium,99 Yrs From 31/01/1997,1999,Resale,HDB,18,52,528828,East Region,Tampines
SOL ACRES,18 Choa Chu Kang Grove  #03-44 ,1,109,Strata,846000,-,7761,721,15-AUG-2016,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688211,West Region,Choa Chu Kang
SOL ACRES,26 Choa Chu Kang Grove  #08-59 ,1,86,Strata,698000,-,8116,754,15-AUG-2016,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688215,West Region,Choa Chu Kang
SOL ACRES,22 Choa Chu Kang Grove  #09-53 ,1,86,Strata,706000,-,8209,763,15-AUG-2016,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688213,West Region,Choa Chu Kang
THE VALES,83 Anchorvale Crescent  #10-27 ,1,84,Strata,734290,-,8742,812,15-AUG-2016,Executive Condominium,99 Yrs From 19/05/2014,Uncompleted,New Sale,Private,19,54,544626,North East Region,Sengkang
TREASURE CREST,66 Anchorvale Crescent  #05-33 ,1,107,Strata,846000,-,7907,735,15-AUG-2016,Executive Condominium,99 Yrs From 05/05/2015,Uncompleted,New Sale,N.A,19,54,544617,North East Region,Sengkang
