Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE FLORAVALE,240 Westwood Avenue  #05-47 ,1,123,Strata,527000,-,4285,398,14-MAR-2008,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648364,West Region,Jurong West
WINDERMERE,20 Choa Chu Kang Street 64  #16-03 ,1,119,Strata,628888,-,5285,491,14-MAR-2008,Executive Condominium,99 Yrs From 03/03/1997,1999,Resale,HDB,23,68,689093,West Region,Choa Chu Kang
THE FLORAVALE,242 Westwood Avenue  #03-49 ,1,122,Strata,555000,-,4549,423,13-MAR-2008,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,Private,22,64,648365,West Region,Jurong West
WINDERMERE,32 Choa Chu Kang Street 64  #02-01 ,1,135,Strata,660000,-,4889,454,13-MAR-2008,Executive Condominium,99 Yrs From 03/03/1997,1999,Resale,Private,23,68,689099,West Region,Choa Chu Kang
WOODSVALE,15 Woodlands Drive 72  #05-42 ,,122,Strata,560000,-,4590,426,13-MAR-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,Private,25,73,738096,North Region,Woodlands
WOODSVALE,11 Woodlands Drive 72  #05-33 ,1,120,Strata,583000,-,4858,451,13-MAR-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738094,North Region,Woodlands
LA CASA,50 Woodlands Drive 16  #07-03 ,1,117,Strata,734433,-,6277,583,12-MAR-2008,Executive Condominium,99 Yrs From 13/09/2004,2008,New Sale,HDB,25,73,737901,North Region,Woodlands
LA CASA,50 Woodlands Drive 16  #08-02 ,1,106,Strata,638950,-,6028,560,12-MAR-2008,Executive Condominium,99 Yrs From 13/09/2004,2008,New Sale,HDB,25,73,737901,North Region,Woodlands
NORTHOAKS,22 Woodlands Crescent  #12-33 ,1,116,Strata,560000,-,4828,448,12-MAR-2008,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,25,73,738082,North Region,Woodlands
NORTHOAKS,30 Woodlands Crescent  #09-15 ,1,115,Strata,595000,-,5174,481,11-MAR-2008,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,25,73,738086,North Region,Woodlands
THE RIVERVALE,1 Rivervale Link  #03-04 ,1,122,Strata,650000,-,5328,495,10-MAR-2008,Executive Condominium,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang
WOODSVALE,9 Woodlands Drive 72  #14-20 ,1,228,Strata,938000,-,4114,382,10-MAR-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,Private,25,73,738093,North Region,Woodlands
NORTHOAKS,32 Woodlands Crescent  #01-05 ,1,152,Strata,680000,-,4474,416,10-MAR-2008,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,Private,25,73,738087,North Region,Woodlands
WOODSVALE,3 Woodlands Drive 72  #08-08 ,1,120,Strata,620000,-,5167,480,07-MAR-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738090,North Region,Woodlands
YEW MEI GREEN,52 Choa Chu Kang North 6  #15-21 ,1,131,Strata,710000,-,5420,504,07-MAR-2008,Executive Condominium,99 Yrs From 01/12/1997,2000,Resale,Private,23,68,689575,West Region,Choa Chu Kang
THE FLORAVALE,236 Westwood Avenue  #07-38 ,1,116,Strata,557800,-,4809,447,07-MAR-2008,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648362,West Region,Jurong West
THE RIVERVALE,7 Rivervale Link  #10-48 ,1,122,Strata,650000,-,5328,495,05-MAR-2008,Executive Condominium,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545125,North East Region,Sengkang
LA CASA,50 Woodlands Drive 16  #04-01 ,1,108,Strata,624269,-,5780,537,04-MAR-2008,Executive Condominium,99 Yrs From 13/09/2004,2008,New Sale,HDB,25,73,737901,North Region,Woodlands
LA CASA,50 Woodlands Drive 16  #10-02 ,1,108,Strata,657000,-,6083,565,04-MAR-2008,Executive Condominium,99 Yrs From 13/09/2004,2008,New Sale,HDB,25,73,737901,North Region,Woodlands
LA CASA,50 Woodlands Drive 16  #10-01 ,1,106,Strata,652000,-,6151,571,03-MAR-2008,Executive Condominium,99 Yrs From 13/09/2004,2008,New Sale,HDB,25,73,737901,North Region,Woodlands
LA CASA,50 Woodlands Drive 16  #03-04 ,1,111,Strata,658336,-,5931,551,03-MAR-2008,Executive Condominium,99 Yrs From 13/09/2004,2008,New Sale,HDB,25,73,737901,North Region,Woodlands
THE RIVERVALE,3 Rivervale Link  #03-27 ,1,117,Strata,580000,-,4957,461,03-MAR-2008,Executive Condominium,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545119,North East Region,Sengkang
WOODSVALE,11 Woodlands Drive 72  #09-33 ,1,120,Strata,590000,-,4917,457,03-MAR-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,Private,25,73,738094,North Region,Woodlands
YEW MEI GREEN,52 Choa Chu Kang North 6  #04-21 ,1,131,Strata,628000,-,4794,445,03-MAR-2008,Executive Condominium,99 Yrs From 01/12/1997,2000,Resale,Private,23,68,689575,West Region,Choa Chu Kang
NORTHOAKS,20 Woodlands Crescent  #07-45 ,1,116,Strata,585000,-,5043,469,02-MAR-2008,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,Private,25,73,738081,North Region,Woodlands
THE FLORAVALE,224 Westwood Avenue  #08-15 ,1,129,Strata,599000,-,4643,431,29-FEB-2008,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,Private,22,64,648356,West Region,Jurong West
LA CASA,62 Woodlands Drive 16  #11-28 ,1,110,Strata,708650,-,6442,599,29-FEB-2008,Executive Condominium,99 Yrs From 13/09/2004,Uncompleted,New Sale,HDB,25,73,737895,North Region,Woodlands
SUMMERDALE,8 Boon Lay Drive  #13-17 ,1,123,Strata,618000,-,5024,467,29-FEB-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,22,64,649928,West Region,Jurong West
WOODSVALE,11 Woodlands Drive 72  #02-31 ,1,120,Strata,542500,-,4521,420,28-FEB-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,Private,25,73,738094,North Region,Woodlands
WOODSVALE,7 Woodlands Drive 72  #04-16 ,1,120,Strata,560000,-,4667,434,27-FEB-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738092,North Region,Woodlands
WOODSVALE,17 Woodlands Drive 72  #03-47 ,1,119,Strata,620000,-,5210,484,26-FEB-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738097,North Region,Woodlands
LA CASA,60 Woodlands Drive 16  #10-22 ,1,106,Strata,636670,-,6006,558,26-FEB-2008,Executive Condominium,99 Yrs From 13/09/2004,Uncompleted,New Sale,HDB,25,73,737896,North Region,Woodlands
LA CASA,60 Woodlands Drive 16  #07-21 ,1,108,Strata,635090,-,5880,546,26-FEB-2008,Executive Condominium,99 Yrs From 13/09/2004,Uncompleted,New Sale,HDB,25,73,737896,North Region,Woodlands
THE FLORIDA,70 Hougang Avenue 7  #05-02 ,1,120,Strata,614001,-,5117,475,25-FEB-2008,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,Private,19,53,538804,North East Region,Hougang
THE FLORAVALE,244 Westwood Avenue  #07-55 ,1,122,Strata,560000,-,4590,426,25-FEB-2008,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648366,West Region,Jurong West
SUMMERDALE,8 Boon Lay Drive  #06-24 ,1,113,Strata,580000,-,5133,477,25-FEB-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,22,64,649928,West Region,Jurong West
YEW MEI GREEN,56 Choa Chu Kang North 6  #10-29 ,1,120,Strata,640000,-,5333,495,25-FEB-2008,Executive Condominium,99 Yrs From 01/12/1997,2000,Resale,Private,23,68,689577,West Region,Choa Chu Kang
WOODSVALE,9 Woodlands Drive 72  #07-22 ,1,126,Strata,595000,-,4722,439,25-FEB-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,Private,25,73,738093,North Region,Woodlands
SUMMERDALE,10 Boon Lay Drive  #08-32 ,1,113,Strata,570000,-,5044,469,24-FEB-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,Private,22,64,649929,West Region,Jurong West
LA CASA,62 Woodlands Drive 16  #10-25 ,1,106,Strata,645790,-,6092,566,22-FEB-2008,Executive Condominium,99 Yrs From 13/09/2004,Uncompleted,New Sale,HDB,25,73,737895,North Region,Woodlands
LA CASA,50 Woodlands Drive 16  #06-02 ,1,106,Strata,612710,-,5780,537,21-FEB-2008,Executive Condominium,99 Yrs From 13/09/2004,2008,New Sale,HDB,25,73,737901,North Region,Woodlands
LA CASA,50 Woodlands Drive 16  #08-01 ,1,106,Strata,645800,-,6092,566,19-FEB-2008,Executive Condominium,99 Yrs From 13/09/2004,2008,New Sale,HDB,25,73,737901,North Region,Woodlands
WOODSVALE,11 Woodlands Drive 72  #02-33 ,1,120,Strata,518000,-,4317,401,19-FEB-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,Private,25,73,738094,North Region,Woodlands
CHESTERVALE,37 Bangkit Road  #08-02 ,1,131,Strata,660000,-,5038,468,18-FEB-2008,Executive Condominium,99 Yrs From 17/03/1997,1999,Resale,Private,23,67,679976,West Region,Bukit Panjang
PINEVALE,6 Tampines Street 73  #05-02 ,1,120,Strata,703000,-,5858,544,18-FEB-2008,Executive Condominium,99 Yrs From 31/01/1997,1999,Resale,Private,18,52,528825,East Region,Tampines
THE FLORIDA,72 Hougang Avenue 7  #04-10 ,1,114,Strata,620000,-,5439,505,16-FEB-2008,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,Private,19,53,538805,North East Region,Hougang
LA CASA,50 Woodlands Drive 16  #10-04 ,1,111,Strata,705716,-,6358,591,15-FEB-2008,Executive Condominium,99 Yrs From 13/09/2004,2008,New Sale,HDB,25,73,737901,North Region,Woodlands
YEW MEI GREEN,56 Choa Chu Kang North 6  #03-26 ,1,105,Strata,516000,-,4914,457,15-FEB-2008,Executive Condominium,99 Yrs From 01/12/1997,2000,Resale,HDB,23,68,689577,West Region,Choa Chu Kang
WINDERMERE,32 Choa Chu Kang Street 64  #21-03 ,1,119,Strata,650000,-,5462,507,15-FEB-2008,Executive Condominium,99 Yrs From 03/03/1997,1999,Resale,HDB,23,68,689099,West Region,Choa Chu Kang
WOODSVALE,7 Woodlands Drive 72  #01-16 ,1,139,Strata,600000,-,4317,401,14-FEB-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,Private,25,73,738092,North Region,Woodlands
YEW MEI GREEN,52 Choa Chu Kang North 6  #01-18 ,1,158,Strata,703888,-,4455,414,14-FEB-2008,Executive Condominium,99 Yrs From 01/12/1997,2000,Resale,HDB,23,68,689575,West Region,Choa Chu Kang
LA CASA,62 Woodlands Drive 16  #04-26 ,1,106,Strata,612700,-,5780,537,13-FEB-2008,Executive Condominium,99 Yrs From 13/09/2004,Uncompleted,New Sale,HDB,25,73,737895,North Region,Woodlands
NORTHOAKS,32 Woodlands Crescent  #08-05 ,1,116,Strata,570000,-,4914,457,13-FEB-2008,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,Private,25,73,738087,North Region,Woodlands
THE FLORIDA,76 Hougang Avenue 7  #06-24 ,1,122,Strata,630000,-,5164,480,13-FEB-2008,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,19,53,538807,North East Region,Hougang
LA CASA,62 Woodlands Drive 16  #12-27 ,1,117,Strata,770230,-,6583,612,12-FEB-2008,Executive Condominium,99 Yrs From 13/09/2004,Uncompleted,New Sale,HDB,25,73,737895,North Region,Woodlands
WOODSVALE,15 Woodlands Drive 72  #07-44 ,1,122,Strata,568000,-,4656,433,12-FEB-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,Private,25,73,738096,North Region,Woodlands
YEW MEI GREEN,50 Choa Chu Kang North 6  #03-05 ,1,105,Strata,525000,-,5000,465,11-FEB-2008,Executive Condominium,99 Yrs From 01/12/1997,2000,Resale,HDB,23,68,689574,West Region,Choa Chu Kang
LA CASA,50 Woodlands Drive 16  #09-04 ,1,111,Strata,703140,-,6335,588,11-FEB-2008,Executive Condominium,99 Yrs From 13/09/2004,2008,New Sale,HDB,25,73,737901,North Region,Woodlands
EASTVALE,31 Pasir Ris Drive 3  #08-07 ,1,102,Strata,650000,-,6373,592,11-FEB-2008,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,HDB,18,51,519491,East Region,Pasir Ris
LA CASA,60 Woodlands Drive 16  #11-24 ,1,110,Strata,679500,-,6177,574,06-FEB-2008,Executive Condominium,99 Yrs From 13/09/2004,Uncompleted,New Sale,HDB,25,73,737896,North Region,Woodlands
WOODSVALE,1 Woodlands Drive 72  #14-01 ,1,120,Strata,595000,-,4958,461,05-FEB-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738089,North Region,Woodlands
LA CASA,60 Woodlands Drive 16  #12-24 ,1,110,Strata,685200,-,6229,579,05-FEB-2008,Executive Condominium,99 Yrs From 13/09/2004,Uncompleted,New Sale,Private,25,73,737896,North Region,Woodlands
WOODSVALE,11 Woodlands Drive 72  #01-35 ,1,139,Strata,588000,-,4230,393,05-FEB-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,Private,25,73,738094,North Region,Woodlands
LA CASA,60 Woodlands Drive 16  #10-24 ,1,110,Strata,682696,-,6206,577,05-FEB-2008,Executive Condominium,99 Yrs From 13/09/2004,Uncompleted,New Sale,HDB,25,73,737896,North Region,Woodlands
THE FLORAVALE,240 Westwood Avenue  #02-47 ,1,130,Strata,590000,-,4538,422,04-FEB-2008,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648364,West Region,Jurong West
LA CASA,50 Woodlands Drive 16  #09-01 ,1,106,Strata,649000,-,6123,569,04-FEB-2008,Executive Condominium,99 Yrs From 13/09/2004,2008,New Sale,HDB,25,73,737901,North Region,Woodlands
SUMMERDALE,10 Boon Lay Drive  #06-31 ,1,111,Strata,558000,-,5027,467,04-FEB-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,Private,22,64,649929,West Region,Jurong West
WOODSVALE,19 Woodlands Drive 72  #11-52 ,1,122,Strata,620000,-,5082,472,04-FEB-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,Private,25,73,738098,North Region,Woodlands
LA CASA,62 Woodlands Drive 16  #07-25 ,1,106,Strata,633722,-,5979,555,04-FEB-2008,Executive Condominium,99 Yrs From 13/09/2004,Uncompleted,New Sale,HDB,25,73,737895,North Region,Woodlands
THE FLORAVALE,246 Westwood Avenue  #10-59 ,1,120,Strata,595000,-,4958,461,04-FEB-2008,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648367,West Region,Jurong West
NUOVO,21 Ang Mo Kio Avenue 9  #03-05 ,1,161,Strata,850000,-,5280,490,04-FEB-2008,Executive Condominium,99 Yrs From 02/05/2001,2004,Resale,HDB,20,56,569786,North East Region,Ang Mo Kio
PARK GREEN,12 Rivervale Link  #13-23 ,1,127,Strata,720000,-,5669,527,04-FEB-2008,Executive Condominium,99 Yrs From 17/08/2001,2004,Resale,Private,19,54,545045,North East Region,Sengkang
LA CASA,60 Woodlands Drive 16  #10-21 ,1,106,Strata,637000,-,6009,558,04-FEB-2008,Executive Condominium,99 Yrs From 13/09/2004,2008,New Sale,Private,25,73,737896,North Region,Woodlands
LA CASA,62 Woodlands Drive 16  #12-28 ,1,110,Strata,712800,-,6480,602,04-FEB-2008,Executive Condominium,99 Yrs From 13/09/2004,Uncompleted,New Sale,HDB,25,73,737895,North Region,Woodlands
SUMMERDALE,8 Boon Lay Drive  #01-21 ,1,168,Strata,720000,-,4286,398,01-FEB-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,22,64,649928,West Region,Jurong West
CHESTERVALE,31 Bangkit Road  #09-02 ,1,132,Strata,668000,-,5061,470,01-FEB-2008,Executive Condominium,99 Yrs From 17/03/1997,1999,Resale,Private,23,67,679973,West Region,Bukit Panjang
LA CASA,60 Woodlands Drive 16  #08-22 ,1,106,Strata,629830,-,5942,552,01-FEB-2008,Executive Condominium,99 Yrs From 13/09/2004,Uncompleted,New Sale,Private,25,73,737896,North Region,Woodlands
EASTVALE,31 Pasir Ris Drive 3  #06-01 ,1,112,Strata,700000,-,6250,581,01-FEB-2008,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,Private,18,51,519491,East Region,Pasir Ris
SIMEI GREEN CONDOMINIUM,9 Simei Street 4  #03-06 ,1,90,Strata,560000,-,6222,578,31-JAN-2008,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529865,East Region,Tampines
LA CASA,62 Woodlands Drive 16  #06-26 ,1,106,Strata,620000,-,5849,543,31-JAN-2008,Executive Condominium,99 Yrs From 13/09/2004,Uncompleted,New Sale,HDB,25,73,737895,North Region,Woodlands
NORTHOAKS,28 Woodlands Crescent  #12-22 ,1,120,Strata,580000,-,4833,449,31-JAN-2008,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,Private,25,73,738085,North Region,Woodlands
SUMMERDALE,6 Boon Lay Drive  #07-10 ,1,111,Strata,560000,-,5045,469,30-JAN-2008,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,22,64,649927,West Region,Jurong West
LA CASA,62 Woodlands Drive 16  #11-27 ,1,117,Strata,757210,-,6472,601,28-JAN-2008,Executive Condominium,99 Yrs From 13/09/2004,Uncompleted,New Sale,HDB,25,73,737895,North Region,Woodlands
LA CASA,50 Woodlands Drive 16  #08-03 ,1,117,Strata,743040,-,6351,590,28-JAN-2008,Executive Condominium,99 Yrs From 13/09/2004,2008,New Sale,Private,25,73,737901,North Region,Woodlands
THE FLORAVALE,244 Westwood Avenue  #02-56 ,1,127,Strata,550000,-,4331,402,28-JAN-2008,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648366,West Region,Jurong West
