Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
BLOSSOM RESIDENCES,34 Segar Road  #14-36 ,1,98,Strata,865100,-,8828,820,31-DEC-2014,Executive Condominium,99 Yrs From 02/03/2011,2014,New Sale,HDB,23,67,677723,West Region,Bukit Panjang
FORESTVILLE,20 Woodlands Drive 16  #02-04 ,1,101,Strata,799112,-,7912,735,31-DEC-2014,Executive Condominium,99 Yrs From 06/08/2012,Uncompleted,New Sale,HDB,25,73,737879,North Region,Woodlands
LAKE LIFE,10 Tao Ching Road  #09-23 ,1,101,Strata,931000,-,9218,856,30-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618725,West Region,Jurong West
LAKE LIFE,12 Tao Ching Road  #18-28 ,1,115,Strata,1084000,-,9426,876,30-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,2016,New Sale,HDB,22,61,618726,West Region,Jurong West
BELLEWATERS,27 Anchorvale Crescent  #10-34 ,1,98,Strata,879000,-,8969,833,30-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544657,North East Region,Sengkang
LAKE LIFE,8 Tao Ching Road  #08-13 ,1,101,Strata,902000,-,8931,830,30-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,Private,22,61,618724,West Region,Jurong West
ECOPOLITAN,124 Punggol Walk  #02-01 ,1,102,Strata,838700,-,8223,764,30-DEC-2014,Executive Condominium,99 Yrs From 04/12/2012,Uncompleted,New Sale,HDB,19,82,828773,North East Region,Punggol
LAKE LIFE,6 Tao Ching Road  #03-07 ,1,104,Strata,944000,-,9077,843,30-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618723,West Region,Jurong West
LAKE LIFE,10 Tao Ching Road  #18-21 ,1,116,Strata,1136000,-,9793,910,30-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618725,West Region,Jurong West
BELLEWATERS,25 Anchorvale Crescent  #12-29 ,1,105,Strata,904000,-,8610,800,30-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544656,North East Region,Sengkang
LAKE LIFE,12 Tao Ching Road  #06-29 ,1,96,Strata,890000,-,9271,861,30-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618726,West Region,Jurong West
LAKE LIFE,12 Tao Ching Road  #19-25 ,1,116,Strata,1165000,-,10043,933,30-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618726,West Region,Jurong West
BELLEWATERS,23 Anchorvale Crescent  #07-25 ,1,86,Strata,737000,-,8570,796,30-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544655,North East Region,Sengkang
THE TERRACE,100 Edgedale Plains  #07-41 ,1,100,Strata,866100,-,8661,805,30-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,19,82,828690,North East Region,Punggol
LAKE LIFE,8 Tao Ching Road  #04-17 ,1,104,Strata,964000,-,9269,861,30-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618724,West Region,Jurong West
LAKE LIFE,8 Tao Ching Road  #16-15 ,1,116,Strata,1082000,-,9328,867,30-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,Private,22,61,618724,West Region,Jurong West
LAKE LIFE,2 Tao Ching Road  #02-01 ,1,100,Strata,957000,-,9570,889,30-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618721,West Region,Jurong West
FORESTVILLE,38 Woodlands Drive 16  #06-39 ,1,99,Strata,774000,-,7818,726,30-DEC-2014,Executive Condominium,99 Yrs From 06/08/2012,Uncompleted,New Sale,HDB,25,73,737773,North Region,Woodlands
BELLEWATERS,21 Anchorvale Crescent  #11-22 ,1,99,Strata,898000,-,9071,843,30-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544654,North East Region,Sengkang
LAKE LIFE,10 Tao Ching Road  #16-20 ,1,104,Strata,1026000,-,9865,917,30-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618725,West Region,Jurong West
LAKE LIFE,12 Tao Ching Road  #13-29 ,1,96,Strata,898000,-,9354,869,30-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618726,West Region,Jurong West
FORESTVILLE,20 Woodlands Drive 16  #04-03 ,1,99,Strata,755000,-,7626,708,30-DEC-2014,Executive Condominium,99 Yrs From 06/08/2012,Uncompleted,New Sale,Private,25,73,737879,North Region,Woodlands
LAKE LIFE,2 Tao Ching Road  #08-06 ,1,95,Strata,838000,-,8821,819,30-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618721,West Region,Jurong West
BELLEWOODS,114 Woodlands Avenue 5  #06-29 ,1,87,Strata,781000,-,8977,834,30-DEC-2014,Executive Condominium,99 Yrs From 12/08/2013,2017,New Sale,HDB,25,73,739017,North Region,Woodlands
ECOPOLITAN,138 Punggol Walk  #01-31 ,1,113,Strata,927000,-,8204,762,30-DEC-2014,Executive Condominium,99 Yrs From 04/12/2012,Uncompleted,New Sale,HDB,19,82,828700,North East Region,Punggol
ECOPOLITAN,124 Punggol Walk  #02-03 ,1,113,Strata,941000,-,8327,774,30-DEC-2014,Executive Condominium,99 Yrs From 04/12/2012,Uncompleted,New Sale,HDB,19,82,828773,North East Region,Punggol
ECOPOLITAN,136 Punggol Walk  #02-25 ,1,102,Strata,844000,-,8275,769,30-DEC-2014,Executive Condominium,99 Yrs From 04/12/2012,Uncompleted,New Sale,HDB,19,82,828699,North East Region,Punggol
BELLEWATERS,17 Anchorvale Crescent  #09-16 ,1,86,Strata,798000,-,9279,862,30-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544652,North East Region,Sengkang
BELLEWATERS,25 Anchorvale Crescent  #03-30 ,1,98,Strata,826000,-,8429,783,29-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544656,North East Region,Sengkang
LAKE LIFE,10 Tao Ching Road  #04-19 ,1,111,Strata,1009000,-,9090,844,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618725,West Region,Jurong West
NUOVO,21 Ang Mo Kio Avenue 9  #03-06 ,1,151,Strata,1300000,-,8609,800,29-DEC-2014,Executive Condominium,99 Yrs From 02/05/2001,2004,Resale,Private,20,56,569786,North East Region,Ang Mo Kio
LAKE LIFE,6 Tao Ching Road  #07-11 ,1,116,Strata,1081000,-,9319,866,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618723,West Region,Jurong West
LAKE LIFE,10 Tao Ching Road  #17-24 ,1,101,Strata,979000,-,9693,901,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618725,West Region,Jurong West
SEA HORIZON,19 Pasir Ris Rise  #12-39 ,1,124,Strata,1118000,-,9016,838,29-DEC-2014,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,HDB,18,51,518089,East Region,Pasir Ris
LAKE LIFE,10 Tao Ching Road  #09-22 ,1,116,Strata,1058000,-,9121,847,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,Private,22,61,618725,West Region,Jurong West
LAKE LIFE,10 Tao Ching Road  #05-21 ,1,116,Strata,1060000,-,9138,849,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618725,West Region,Jurong West
BELLEWATERS,21 Anchorvale Crescent  #08-21 ,1,105,Strata,942000,-,8971,833,29-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544654,North East Region,Sengkang
LAKE LIFE,2 Tao Ching Road  #07-02 ,1,149,Strata,1363000,-,9148,850,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,Private,22,61,618721,West Region,Jurong West
WOODSVALE,11 Woodlands Drive 72  #09-36 ,1,120,Strata,835000,-,6958,646,29-DEC-2014,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738094,North Region,Woodlands
WATERWOODS,15 Punggol Field Walk  #06-03 ,1,97,Strata,851888,-,8782,816,29-DEC-2014,Executive Condominium,99 Yrs From 11/03/2013,Uncompleted,New Sale,HDB,19,82,828746,North East Region,Punggol
LAKE LIFE,10 Tao Ching Road  #07-22 ,1,116,Strata,1033000,-,8905,827,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618725,West Region,Jurong West
THE TERRACE,82 Edgedale Plains  #08-06 ,1,109,Strata,984600,-,9033,839,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,19,82,828736,North East Region,Punggol
BELLEWATERS,17 Anchorvale Crescent  #06-16 ,1,86,Strata,765000,-,8895,826,29-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544652,North East Region,Sengkang
LAKE LIFE,12 Tao Ching Road  #08-30 ,1,117,Strata,1046000,-,8940,831,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618726,West Region,Jurong West
LAKE LIFE,6 Tao Ching Road  #08-07 ,1,96,Strata,852000,-,8875,825,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618723,West Region,Jurong West
BELLEWATERS,15 Anchorvale Crescent  #15-11 ,1,102,Strata,929000,-,9108,846,29-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544651,North East Region,Sengkang
BELLEWATERS,19 Anchorvale Crescent  #06-18 ,1,115,Strata,995000,-,8652,804,29-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544653,North East Region,Sengkang
LAKE LIFE,6 Tao Ching Road  #10-07 ,1,96,Strata,856000,-,8917,828,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618723,West Region,Jurong West
BELLEWATERS,11 Anchorvale Crescent  #15-02 ,1,102,Strata,881000,-,8637,802,29-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544649,North East Region,Sengkang
LAKE LIFE,8 Tao Ching Road  #04-15 ,1,116,Strata,1026000,-,8845,822,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618724,West Region,Jurong West
THE CANOPY,81 Yishun Avenue 11  #05-25 ,1,111,Strata,838000,-,7550,701,29-DEC-2014,Executive Condominium,99 Yrs From 14/06/2010,2014,New Sale,Private,27,76,768863,North Region,Yishun
LAKE LIFE,10 Tao Ching Road  #06-24 ,1,101,Strata,931000,-,9218,856,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618725,West Region,Jurong West
BELLEWOODS,114 Woodlands Avenue 5  #08-30 ,1,125,Strata,1038000,-,8304,771,29-DEC-2014,Executive Condominium,99 Yrs From 12/08/2013,Uncompleted,New Sale,HDB,25,73,739017,North Region,Woodlands
BELLEWATERS,23 Anchorvale Crescent  #15-25 ,1,89,Strata,800000,-,8989,835,29-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544655,North East Region,Sengkang
LAKE LIFE,6 Tao Ching Road  #20-08 ,1,115,Strata,1100000,-,9565,889,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618723,West Region,Jurong West
BELLEWATERS,23 Anchorvale Crescent  #05-25 ,1,86,Strata,731000,-,8500,790,29-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544655,North East Region,Sengkang
BELLEWATERS,21 Anchorvale Crescent  #06-22 ,1,99,Strata,883000,-,8919,829,29-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544654,North East Region,Sengkang
LAKE LIFE,6 Tao Ching Road  #04-12 ,1,117,Strata,1018000,-,8701,808,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618723,West Region,Jurong West
LAKE LIFE,12 Tao Ching Road  #19-30 ,1,117,Strata,1111000,-,9496,882,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618726,West Region,Jurong West
BELLEWATERS,15 Anchorvale Crescent  #14-11 ,1,102,Strata,925000,-,9069,842,29-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544651,North East Region,Sengkang
BELLEWATERS,25 Anchorvale Crescent  #16-29 ,1,108,Strata,934000,-,8648,803,29-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544656,North East Region,Sengkang
THE TERRACE,96 Edgedale Plains  #03-35 ,1,100,Strata,817500,-,8175,759,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,19,82,828688,North East Region,Punggol
BELLEWATERS,17 Anchorvale Crescent  #07-16 ,1,86,Strata,768000,-,8930,830,29-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,Private,19,54,544652,North East Region,Sengkang
BELLEWATERS,13 Anchorvale Crescent  #05-08 ,1,86,Strata,755000,-,8779,816,29-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544650,North East Region,Sengkang
LAKE LIFE,12 Tao Ching Road  #09-27 ,1,116,Strata,1091000,-,9405,874,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618726,West Region,Jurong West
BELLEWOODS,108 Woodlands Avenue 5  #06-18 ,1,99,Strata,853000,-,8616,800,29-DEC-2014,Executive Condominium,99 Yrs From 12/08/2013,Uncompleted,New Sale,Private,25,73,739014,North Region,Woodlands
LAKE LIFE,2 Tao Ching Road  #20-03 ,1,95,Strata,870000,-,9158,851,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618721,West Region,Jurong West
LAKE LIFE,10 Tao Ching Road  #02-19 ,1,119,Strata,1103000,-,9269,861,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618725,West Region,Jurong West
LAKE LIFE,10 Tao Ching Road  #07-19 ,1,111,Strata,1051000,-,9468,880,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618725,West Region,Jurong West
BELLEWOODS,108 Woodlands Avenue 5  #08-18 ,1,99,Strata,860000,-,8687,807,29-DEC-2014,Executive Condominium,99 Yrs From 12/08/2013,Uncompleted,New Sale,HDB,25,73,739014,North Region,Woodlands
BELLEWATERS,23 Anchorvale Crescent  #12-25 ,1,86,Strata,754000,-,8767,815,29-DEC-2014,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,Private,19,54,544655,North East Region,Sengkang
LAKE LIFE,6 Tao Ching Road  #05-11 ,1,116,Strata,1063000,-,9164,851,29-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618723,West Region,Jurong West
BELLEWOODS,122 Woodlands Avenue 5  #10-48 ,1,90,Strata,784000,-,8711,809,26-DEC-2014,Executive Condominium,99 Yrs From 12/08/2013,Uncompleted,New Sale,HDB,25,73,739021,North Region,Woodlands
LAKE LIFE,2 Tao Ching Road  #07-01 ,1,100,Strata,950000,-,9500,883,26-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,Private,22,61,618721,West Region,Jurong West
LAKE LIFE,6 Tao Ching Road  #07-10 ,1,104,Strata,999000,-,9606,892,26-DEC-2014,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,22,61,618723,West Region,Jurong West
