Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
BISHAN LOFT,31 Bishan Street 11  #32-04 ,1,125,Strata,980000,-,7840,728,28-JUL-2009,Executive Condominium,99 Yrs From 13/12/2000,2003,Resale,Private,20,57,579819,Central Region,Bishan
THE DEW,32 Bukit Batok Street 21  #08-11 ,1,112,Strata,700000,-,6250,581,28-JUL-2009,Executive Condominium,99 Yrs From 13/12/2000,2003,Resale,HDB,23,65,659637,West Region,Bukit Batok
WINDERMERE,20 Choa Chu Kang Street 64  #22-02 ,1,119,Strata,600000,-,5042,468,28-JUL-2009,Executive Condominium,99 Yrs From 03/03/1997,1999,Resale,Private,23,68,689093,West Region,Choa Chu Kang
THE EDEN AT TAMPINES,35 Tampines Street 34  #09-40 ,1,126,Strata,705000,-,5595,520,27-JUL-2009,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529239,East Region,Tampines
EASTVALE,37 Pasir Ris Drive 3  #07-04 ,1,102,Strata,616000,-,6039,561,27-JUL-2009,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,Private,18,51,519494,East Region,Pasir Ris
THE FLORIDA,72 Hougang Avenue 7  #06-11 ,1,122,Strata,640000,-,5246,487,27-JUL-2009,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,19,53,538805,North East Region,Hougang
LILYDALE,556 Yishun Avenue 6  #10-14 ,1,118,Strata,600000,-,5085,472,27-JUL-2009,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,27,76,768964,North Region,Yishun
PINEVALE,8 Tampines Street 73  #12-04 ,1,119,Strata,660000,-,5546,515,27-JUL-2009,Executive Condominium,99 Yrs From 31/01/1997,1999,Resale,HDB,18,52,528826,East Region,Tampines
NORTHOAKS,28 Woodlands Crescent  #05-24 ,1,116,Strata,570000,-,4914,457,27-JUL-2009,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,25,73,738085,North Region,Woodlands
THE FLORAVALE,228 Westwood Avenue  #05-21 ,1,123,Strata,610000,-,4959,461,27-JUL-2009,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648358,West Region,Jurong West
WINDERMERE,26 Choa Chu Kang Street 64  #11-01 ,1,135,Strata,690000,-,5111,475,24-JUL-2009,Executive Condominium,99 Yrs From 03/03/1997,1999,Resale,HDB,23,68,689096,West Region,Choa Chu Kang
THE FLORAVALE,242 Westwood Avenue  #12-49 ,1,120,Strata,608000,-,5067,471,24-JUL-2009,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648365,West Region,Jurong West
BISHAN LOFT,31 Bishan Street 11  #12-02 ,1,128,Strata,915000,-,7148,664,24-JUL-2009,Executive Condominium,99 Yrs From 13/12/2000,2003,Resale,Private,20,57,579819,Central Region,Bishan
WOODSVALE,1 Woodlands Drive 72  #01-03 ,1,125,Strata,585000,-,4680,435,24-JUL-2009,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738089,North Region,Woodlands
WOODSVALE,11 Woodlands Drive 72  #01-32 ,1,133,Strata,615000,-,4624,430,24-JUL-2009,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738094,North Region,Woodlands
THE EDEN AT TAMPINES,33 Tampines Street 34  #01-34 ,1,138,Strata,693000,-,5022,467,24-JUL-2009,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,HDB,18,52,529238,East Region,Tampines
SIMEI GREEN CONDOMINIUM,5 Simei Street 4  #06-02 ,1,111,Strata,675000,-,6081,565,24-JUL-2009,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529863,East Region,Tampines
THE FLORAVALE,222 Westwood Avenue  #11-11 ,1,120,Strata,590000,-,4917,457,24-JUL-2009,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648355,West Region,Jurong West
SUMMERDALE,2 Boon Lay Drive  #10-06 ,1,118,Strata,620000,-,5254,488,23-JUL-2009,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,Private,22,64,649925,West Region,Jurong West
WOODSVALE,11 Woodlands Drive 72  #08-38 ,1,120,Strata,610000,-,5083,472,23-JUL-2009,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,Private,25,73,738094,North Region,Woodlands
EASTVALE,39 Pasir Ris Drive 3  #09-04 ,1,102,Strata,620000,-,6078,565,23-JUL-2009,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,Private,18,51,519495,East Region,Pasir Ris
NORTHOAKS,28 Woodlands Crescent  #03-17 ,1,116,Strata,580000,-,5000,465,23-JUL-2009,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,25,73,738085,North Region,Woodlands
THE RIVERVALE,1 Rivervale Link  #03-01 ,1,122,Strata,630000,-,5164,480,23-JUL-2009,Executive Condominium,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang
THE FLORAVALE,240 Westwood Avenue  #06-47 ,1,123,Strata,580000,-,4715,438,23-JUL-2009,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,Private,22,64,648364,West Region,Jurong West
THE FLORAVALE,224 Westwood Avenue  #09-15 ,1,129,Strata,600000,-,4651,432,23-JUL-2009,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,22,64,648356,West Region,Jurong West
WOODSVALE,9 Woodlands Drive 72  #05-23 ,1,126,Strata,630000,-,5000,465,22-JUL-2009,Executive Condominium,99 Yrs From 22/09/1997,2000,Resale,HDB,25,73,738093,North Region,Woodlands
THE FLORAVALE,232 Westwood Avenue  #04-30 ,1,116,Strata,580000,-,5000,465,22-JUL-2009,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,Private,22,64,648360,West Region,Jurong West
THE FLORAVALE,248 Westwood Avenue  #04-62 ,1,122,Strata,600000,-,4918,457,21-JUL-2009,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,Private,22,64,648353,West Region,Jurong West
YEW MEI GREEN,50 Choa Chu Kang North 6  #11-02 ,1,105,Strata,565000,-,5381,500,21-JUL-2009,Executive Condominium,99 Yrs From 01/12/1997,2000,Resale,Private,23,68,689574,West Region,Choa Chu Kang
NORTHOAKS,20 Woodlands Crescent  #06-45 ,1,116,Strata,575000,-,4957,461,21-JUL-2009,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,25,73,738081,North Region,Woodlands
THE DEW,30 Bukit Batok Street 21  #12-06 ,1,112,Strata,690000,-,6161,572,21-JUL-2009,Executive Condominium,99 Yrs From 13/12/2000,2003,Resale,HDB,23,65,659636,West Region,Bukit Batok
