Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE VISIONAIRE,172 Canberra Drive  #09-08 ,1,107,Strata,851000,-,7953,739,02-JUL-2016,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,HDB,27,76,768003,North Region,Sembawang
THE AMORE,57A Edgedale Plains  #11-21 ,1,102,Strata,930000,-,9118,847,02-JUL-2016,Executive Condominium,99 Yrs From 30/10/2013,2016,New Sale,HDB,19,82,828682,North East Region,Punggol
THE BROWNSTONE,160 Canberra Drive  #02-39 ,1,89,Strata,784800,-,8818,819,02-JUL-2016,Executive Condominium,99 Yrs From 28/04/2014,Uncompleted,New Sale,N.A,27,76,767999,North Region,Sembawang
BELLEWOODS,106 Woodlands Avenue 5  #01-16 ,1,114,Strata,958320,-,8406,781,02-JUL-2016,Executive Condominium,99 Yrs From 12/08/2013,2017,New Sale,Private,25,73,739013,North Region,Woodlands
THE TERRACE,84 Edgedale Plains  #14-12 ,1,122,Strata,1067600,1057600,8669,805,02-JUL-2016,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,19,82,828737,North East Region,Punggol
THE TERRACE,86 Edgedale Plains  #14-16 ,1,122,Strata,1068900,-,8761,814,02-JUL-2016,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,19,82,828738,North East Region,Punggol
THE TERRACE,84 Edgedale Plains  #17-12 ,1,122,Strata,1088600,1078600,8841,821,02-JUL-2016,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,19,82,828737,North East Region,Punggol
PARC LIFE,31 Sembawang Crescent  #01-23 ,1,103,Strata,864500,862200,8371,778,02-JUL-2016,Executive Condominium,99 Yrs From 13/10/2014,Uncompleted,New Sale,HDB,27,75,756983,North Region,Sembawang
WANDERVALE,359 Choa Chu Kang Avenue 3  #13-19 ,1,89,Strata,751000,-,8438,784,02-JUL-2016,Executive Condominium,99 Yrs From 08/12/2014,Uncompleted,New Sale,Private,23,68,689883,West Region,Choa Chu Kang
THE VISIONAIRE,178 Canberra Drive  #03-20 ,1,95,Strata,806000,-,8484,788,02-JUL-2016,Executive Condominium,99 Yrs From 09/01/2015,Uncompleted,New Sale,HDB,27,76,767951,North Region,Sembawang
THE TERRACE,84 Edgedale Plains  #16-12 ,1,122,Strata,1081600,1071600,8784,816,02-JUL-2016,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,N.A,19,82,828737,North East Region,Punggol
THE AMORE,57A Edgedale Plains  #10-21 ,1,102,Strata,934000,-,9157,851,02-JUL-2016,Executive Condominium,99 Yrs From 30/10/2013,2016,New Sale,HDB,19,82,828682,North East Region,Punggol
BELLEWOODS,108 Woodlands Avenue 5  #03-18 ,1,99,Strata,849000,-,8576,797,02-JUL-2016,Executive Condominium,99 Yrs From 12/08/2013,Uncompleted,New Sale,HDB,25,73,739014,North Region,Woodlands
THE BROWNSTONE,162 Canberra Drive  #02-47 ,1,103,Strata,874400,-,8489,789,02-JUL-2016,Executive Condominium,99 Yrs From 28/04/2014,Uncompleted,New Sale,N.A,27,76,768000,North Region,Sembawang
BELLEWATERS,17 Anchorvale Crescent  #02-14 ,1,99,Strata,891000,-,9000,836,02-JUL-2016,Executive Condominium,99 Yrs From 28/08/2013,Uncompleted,New Sale,HDB,19,54,544652,North East Region,Sengkang
THE AMORE,57A Edgedale Plains  #04-21 ,1,102,Strata,910000,-,8922,829,01-JUL-2016,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,HDB,19,82,828682,North East Region,Punggol
THE TOPIARY,21 Fernvale Lane  #11-27 ,1,97,Strata,872000,-,8990,835,01-JUL-2016,Executive Condominium,99 Yrs From 03/07/2012,2016,New Sale,HDB,28,79,797500,North East Region,Sengkang
THE AMORE,57A Edgedale Plains  #10-22 ,1,121,Strata,1060000,-,8760,814,01-JUL-2016,Executive Condominium,99 Yrs From 30/10/2013,Uncompleted,New Sale,N.A,19,82,828682,North East Region,Punggol
THE VALES,79 Anchorvale Crescent  #14-19 ,1,85,Strata,771193,-,9073,843,01-JUL-2016,Executive Condominium,99 Yrs From 19/05/2014,Uncompleted,New Sale,HDB,19,54,544624,North East Region,Sengkang
BISHAN LOFT,31 Bishan Street 11  #07-04 ,1,109,Strata,1300000,-,11927,1108,01-JUL-2016,Executive Condominium,99 Yrs From 13/12/2000,2003,Resale,HDB,20,57,579819,Central Region,Bishan
BELLEWOODS,116 Woodlands Avenue 5  #06-33 ,1,107,Strata,886580,-,8286,770,30-JUN-2016,Executive Condominium,99 Yrs From 12/08/2013,2017,New Sale,HDB,25,73,739018,North Region,Woodlands
BELLEWOODS,110 Woodlands Avenue 5  #01-22 ,1,116,Strata,952000,-,8207,762,30-JUN-2016,Executive Condominium,99 Yrs From 12/08/2013,Uncompleted,New Sale,HDB,25,73,739015,North Region,Woodlands
SOL ACRES,2 Choa Chu Kang Grove  #16-02 ,1,102,Strata,857000,-,8402,781,30-JUN-2016,Executive Condominium,99 Yrs From 02/06/2014,Uncompleted,New Sale,HDB,23,68,688238,West Region,Choa Chu Kang
THE BROWNSTONE,164 Canberra Drive  #07-54 ,1,68,Strata,618400,-,9094,845,30-JUN-2016,Executive Condominium,99 Yrs From 28/04/2014,Uncompleted,New Sale,HDB,27,76,768001,North Region,Sembawang
