Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
1 CANBERRA,23 Canberra Drive  #09-45 ,1,89,Strata,738000,-,8292,770,05-MAR-2014,Executive Condominium,99 Yrs From 30/01/2012,Uncompleted,New Sale,HDB,27,76,768077,North Region,Yishun
WHITEWATER,31 Pasir Ris Street 72  #11-23 ,1,106,Strata,960000,-,9057,841,05-MAR-2014,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,Private,18,51,518769,East Region,Pasir Ris
FORESTVILLE,28 Woodlands Drive 16  #08-20 ,1,99,Strata,766080,-,7738,719,04-MAR-2014,Executive Condominium,99 Yrs From 06/08/2012,Uncompleted,New Sale,HDB,25,73,737768,North Region,Woodlands
WESTMERE,71 Jurong East Street 13  #06-06 ,1,103,Strata,1000000,-,9709,902,04-MAR-2014,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,Private,22,60,609650,West Region,Jurong East
SKYPARK RESIDENCES,15 Sembawang Crescent  #14-26 ,1,122,Strata,1094000,-,8967,833,03-MAR-2014,Executive Condominium,99 Yrs From 18/03/2013,Uncompleted,New Sale,HDB,27,75,757060,North Region,Sembawang
THE RIVERVALE,1 Rivervale Link  #14-06 ,1,117,Strata,975000,-,8333,774,28-FEB-2014,Executive Condominium,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang
THE EDEN AT TAMPINES,37 Tampines Street 34  #03-43 ,1,126,Strata,1045000,-,8294,770,28-FEB-2014,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,Private,18,52,529240,East Region,Tampines
LUSH ACRES,1 Fernvale Close  #22-04 ,1,98,Strata,874120,-,8920,829,28-FEB-2014,Executive Condominium,99 Yrs From 13/02/2013,Uncompleted,New Sale,Private,28,79,797485,North East Region,Sengkang
LUSH ACRES,7 Fernvale Close  #13-13 ,1,98,Strata,863460,-,8811,819,28-FEB-2014,Executive Condominium,99 Yrs From 13/02/2013,Uncompleted,New Sale,HDB,28,79,797488,North East Region,Sengkang
WATERWOODS,23 Punggol Field Walk  #12-18 ,1,119,Strata,1023643,-,8602,799,28-FEB-2014,Executive Condominium,99 Yrs From 11/03/2013,Uncompleted,New Sale,HDB,19,82,828750,North East Region,Punggol
SEA HORIZON,5 Pasir Ris Rise  #05-11 ,1,96,Strata,791000,-,8240,765,28-FEB-2014,Executive Condominium,99 Yrs From 25/02/2013,Uncompleted,New Sale,HDB,18,51,518082,East Region,Pasir Ris
WATERWOODS,23 Punggol Field Walk  #11-18 ,1,119,Strata,1019800,-,8570,796,28-FEB-2014,Executive Condominium,99 Yrs From 11/03/2013,Uncompleted,New Sale,HDB,19,82,828750,North East Region,Punggol
LA CASA,54 Woodlands Drive 16  #09-09 ,1,110,Strata,940000,-,8545,794,28-FEB-2014,Executive Condominium,99 Yrs From 13/09/2004,2008,Resale,HDB,25,73,737899,North Region,Woodlands
NORTHOAKS,32 Woodlands Crescent  #05-07 ,1,115,Strata,850000,-,7391,687,28-FEB-2014,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,HDB,25,73,738087,North Region,Woodlands
ECOPOLITAN,138 Punggol Walk  #05-30 ,1,113,Strata,933100,-,8258,767,27-FEB-2014,Executive Condominium,99 Yrs From 04/12/2012,Uncompleted,New Sale,HDB,19,82,828700,North East Region,Punggol
ECOPOLITAN,124 Punggol Walk  #13-01 ,1,102,Strata,905100,-,8874,824,27-FEB-2014,Executive Condominium,99 Yrs From 04/12/2012,Uncompleted,New Sale,HDB,19,82,828773,North East Region,Punggol
TWIN FOUNTAINS,15A Woodlands Avenue 6  #09-15 ,1,102,Strata,816040,-,8000,743,27-FEB-2014,Executive Condominium,99 Yrs From 19/12/2012,Uncompleted,New Sale,HDB,25,73,738996,North Region,Woodlands
